mid,Model type,Publication,Population,Drug,Disease,PMID,Training data Reference,Training data,Program/code
M13,PBPK,"Ke AB, Nallani SC, Zhao P, Rostami-Hodjegan A, Unadkat JD. A PBPK Model to Predict Disposition of CYP3A-Metabolized Drugs in Pregnant Women: Verification and Discerning the Site of CYP3A Induction. CPT Pharmacometrics Syst Pharmacol. 2012;1(9):e3.",pregnant Women,midazolam/nifedipine / indinavir,NA,23835883,"midazolam-The disposition kinetics of MDZ following a single oral dose of 2 mg was evaluated in 13 women during T3 and postpartum.4  nifedipine- Prevost et al. studied steady-state NIF disposition (10 mg p.o. q.i.d.) during T3 in 15 pregnant women with pregnancy-induced hypertension.17 indinavir-Then, the constructed PBPK model was verified against the disposition kinetics following the administration of a tracer dose of 16 mg IDV via 30-min intravenous (i.v.) infusion to nonpregnant healthy volunteers.19",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3606941/figure/fig3/,NA
M14,PBPK,"Olanoff LS, Anderson JM. Controlled release of tetracycline--III: A physiological pharmacokinetic model of the pregnant rat. J Pharmacokinet Biopharm. 1980;8(6):599-620.",pregnant rat,tetracycline,NA,7229911,measured,NA,NA
M15,PBPK,"Le Merdy M, Szeto KX, Perrier J, Bolger MB, Lukacova V. PBPK Modeling Approach to Predict the Behavior of Drugs Cleared by Metabolism in Pregnant Subjects and Fetuses. Pharmaceutics. 2024;16(1):96.",Pregnant Subjects and Fetuses,metoprolol/midazolam/metronidazole,NA,38258106,"The compound properties, model settings, and clinical studies used for the model development, validation, and extrapolation to the pregnant population for all compounds are summarized in Supplementary Materials File S2.",NA,NA
M16,PBPK,"Gabrielsson JL, Paalzow LK, Nordström L. A physiologically based pharmacokinetic model for theophylline disposition in the pregnant and nonpregnant rat. J Pharmacokinet Biopharm. 1984;12(2):149-165.",pregnant and nonpregnant rat,theophylline,NA,6491898,measured,NA,NA
M17,PBPK,"Jogiraju VK, Avvari S, Gollen R, Taft DR. Application of physiologically based pharmacokinetic modeling to predict drug disposition in pregnant populations. Biopharm Drug Dispos. 2017;38(7):426-438.",pregnant Women,metformin/tacrolimus/oseltamivir,NA,28474821,Table 2. Study design for Simcyp simulations in healthy and pregnant populations,NA,NA
M18,PBPK,"Liu X, Wang W, Chen J, Chen D, Tao Y, Ouyang D. PBPK/PD Modeling of Nifedipine for Precision Medicine in Pregnant Women: Enhancing Clinical Decision-Making for Optimal Drug Therapy. Pharm Res. 2024;41(1):63-75.",pregnant Women,Nifedipine,NA,38049651,Table II Non-Pregnant Clinical Research Dataset& Table III Pregnant Clinical Research Dataset,NA,NA
M19,PBPK,"Kawahara M, Nanbo T, Tsuji A. Physiologically based pharmacokinetic prediction of p-phenylbenzoic acid disposition in the pregnant rat. Biopharm Drug Dispos. 1998;19(7):445-453.",pregnant rat,p-phenylbenzoic,NA,9818711,measured,NA,NA
M20,PBPK,"Gabrielsson JL, Paalzow LK. A physiological pharmacokinetic model for morphine disposition in the pregnant rat. J Pharmacokinet Biopharm. 1983;11(2):147-163.",pregnant rat,morphine,NA,6886971,measured,NA,NA
M21,PBPK,"Liu XI, Leong R, Burckart GJ, Dallmann A. Physiologically Based Pharmacokinetic Modeling of Nilotinib for Drug-Drug Interactions, Pediatric Patients, and Pregnancy and Lactation. J Clin Pharmacol. 2024;64(3):323-333.",pregnant Women,Nilotinib,NA,37909674,Table 2.Clinical Studies Used for PBPK Model of Nilotinib,NA,NA
M22,PBPK,"Zhang X, Luo T, Yang H, et al. Physiologically-Based Pharmacokinetic Modeling of Tenofovir Disoproxil Fumarate in Pregnant Women. Curr Drug Metab. 2023;23(14):1115-1123.",pregnant Women,Tenofovir Disoproxil Fumarate,HIV,36718061,"For the PBPK modeling performance verification in the pregnant population, simulations were conducted and compared with the observed PK data extracted from the 6 studies. Benaboud et al. [20], Colbers et al. [21] and Eke et al. [22] described the PK of TDF after 300mg p.o. administration in European pregnant women. Cressey et al. [23] reported PK in Asian pregnant women following an oral dose of 300mg TDF. Hirt et al. [24] and Flynn et al. [25] described the PK of TDF after 600mg p.o. administration in American and African pregnant women, respectively. In addition, Flynn et al. [25] reported the PK in American pregnant women following an oral dose of 900mg TDF",NA,NA
M23,PBPK,"Zheng L, Tang S, Tang R, Xu M, Jiang X, Wang L. Dose Adjustment of Quetiapine and Aripiprazole for Pregnant Women Using Physiologically Based Pharmacokinetic Modeling and Simulation. Clin Pharmacokinet. 2021;60(5):623-635.",pregnant Women,Quetiapine/Aripiprazole,schizophrenia and bipolar disorder,33251573,"Quetiapine- Simulated and observed plasma concentration–time profles of quetiapine in healthy adults receiving a single oral dose of 25 mg and multiple doses from 25 mg ascending to 300 mg are shown in Fig. 1 [33, 34].   Aripiprazole- Two pharmacokinetic studies using an intravenous dose of 2 mg and an oral dose of 10 mg were referenced to assist model development for aripiprazole and dehydroaripiprazole (Fig. 1d, e) [38, 39].",NA,NA
M24,PBPK,"Atoyebi SA, Rajoli RKR, Adejuyigbe E, et al. Using mechanistic physiologically-based pharmacokinetic models to assess prenatal drug exposure: Thalidomide versus efavirenz as case studies. Eur J Pharm Sci. 2019;140:105068.",pregnant women and their fetuses,Thalidomide/Efavirenz,HIV,31518681,"The predicted thalidomide and efavirenz pharmacokinetic parameters were validated against published clinical data (Cressey et al., 2012; Dickinson et al., 2016; FDA, 2001; Gandhi et al., 2013; Olagunju et al., 2015a).",NA,NA
M25,PBPK,"Badaoui S, Hopkins AM, Rodrigues AD, Miners JO, Sorich MJ, Rowland A. Application of Model Informed Precision Dosing to Address the Impact of Pregnancy Stage and CYP2D6 Phenotype on Foetal Morphine Exposure. AAPS J. 2021;23(1):15.",pregnant Women,Morphine,lower back and/or pelvic pain,33404848,"The codeine and morphine compound models were verified by comparing simulated AUC and Cmax values to observed data from human clinical studies reporting codeine and morphine exposure following oral codeine administration (27,44). ",NA,NA
M26,PBPK,"Almurjan A, Macfarlane H, Badhan RKS. Precision dosing-based optimisation of paroxetine during pregnancy for poor and ultrarapid CYP2D6 metabolisers: a virtual clinical trial pharmacokinetics study. J Pharm Pharmacol. 2020;72(8):1049-1060.",pregnant Women,paroxetine,Depression,32346890,"Validation of paroxetine: Validation of the revision made to the paroxetine compound file employed three single-dose studies and two multiple-dose studies: (1) 28 male healthy volunteers (18–50 years old) dosed a single oral dose of 20 mg[32]; (2) nine healthy male subjects administered a single 20 mg oral dose of paroxetine[33]; (3) 12 healthy volunteers aged between 20 and 35 years old (nine males and three females) administered a 20 mg single dose of paroxetine[34]; (4) 28 healthy volunteers administered a 20 mg daily for 13 days, with sampling on days 12 and 13[35]; and (5) seven healthy males administered a 20 mg oral dose of paroxetine daily for 3 days, with sampling on day 1 and 3.[36]. Validation of paroxetine during gestation:Paroxetine plasma concentrations have been reported during gestation from a retrospective analysis of therapeutic drug monitoring services in Norway,[3] consisting of 29 serum drug concentrations during pregnancy and 31 drug concentrations at baseline (non-pregnancy females) obtained from 19 women taking an oral dose of 20 mg daily. These data were extracted and utilised as ‘observed’ data for validation purposes.",NA,NA
M27,PBPK,"Badhan RKS, Macfarlane H. Quetiapine dose optimisation during gestation: a pharmacokinetic modelling study. J Pharm Pharmacol. 2020;72(5):670-681.",pregnant Women,Quetiapine,schizophrenia,32012278,"Validation of quetiapine: using a total of three single-dose studies and one multidose study: (i) 12 men (24–42 years old) dosed a single oral dose of 25 mg[40]; (ii) 15 men and three women (29–63 years old) dosed at 25 mg twice daily on day 1, 50 mg twice daily on day 2, 100 mg twice daily on day 3, 200 mg twice daily on day 4 and 300 mg twice daily on day 5 until day 10[40]; (iii) 10 men (35–55 years old) dosed at 25 mg three times daily (TID) (6 a.m., 2 p.m. and 10 p.m.) on day 1 and dose escalated to 50 mg TID on day 2, 75 mg TID on day 3, 100 mg TID on day 4 and by 50 mg increments daily until 250 mg TID on days 7 and 8[41]; and (iv) 11 men and two women (19–58 years) dosed at 25 mg twice daily (BD) on day 1 and dose escalated to 50 mg BD on day 2, 75 mg BD on day 3, 100 mg BD on day 4 and by 50 mg increments daily until 300 mg BD on 8 until day 21.[42] Validation of quetiapine during gestation:A recent report by Westin et al[28] retrospectively collated serum level of antipsychotics before, during and after pregnancy. Data for quetiapine consisted of 66 measurements during pregnancy, 11 during the first 12 weeks following pregnancy and 144 at baseline, from 33 women. Subjects were stabilised on 400 mg/daily.",NA,NA
M28,PBPK,"He L, Ke M, Wu W, et al. Application of Physiologically Based Pharmacokinetic Modeling to Predict Maternal Pharmacokinetics and Fetal Exposure to Oxcarbazepine. Pharmaceutics. 2022;14(11):2367.",pregnant Women,Oxcarbazepine,epilepsy,36365185,Table 1-List of reported clinical studies that were used for modeling adults who are healthy.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9693517/table/pharmaceutics-14-02367-t001/?report=objectonly,NA
M29,PBPK,"Bukkems VE, van Hove H, Roelofsen D, et al. Prediction of Maternal and Fetal Doravirine Exposure by Integrating Physiologically Based Pharmacokinetic Modeling and Human Placenta Perfusion Experiments. Clin Pharmacokinet. 2022;61(8):1129-1141. doi:10.1007/s40262-022-01127-0",pregnant women and their fetuses,Doravirine,HIV,35579825,"This full-body PBPK model was then revalidated using independent data from intravenous and oral plasma concentrations in nonpregnant individuals with matched populations [6, 29–31]. ",https://journals.sagepub.com/doi/10.3851/IMP3142?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed https://journals.asm.org/doi/10.1128/aac.01757-16?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub++0pubmed https://journals.asm.org/doi/10.1128/aac.01757-16?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub++0pubmed,NA
M30,PBPK,"Chen J, You X, Wu W, et al. Application of PBPK modeling in predicting maternal and fetal pharmacokinetics of levetiracetam during pregnancy. Eur J Pharm Sci. 2023;181:106349.",pregnant women and their fetuses,levetiracetam,epilepsy,36496167,PBPK model for nonpregnant women-External validation was performed using a goodness-of-fit graph showing the levetiracetam steady-state trough concentration data from the First Affiliated Hospital of Fujian Medical University (China). the PBPK model for pregnant women-The accuracy of the model was validated using clinical data from a study based on published pharmacokinetics studies in pregnant women and fetuses.,NA,NA
M31,PBPK,"Lartey D, Jateng D, Li M, Nguyen C, Crentsil V, Beitz J, George B. Quantification of sertraline maternal/fetal ratio and amniotic fluid concentration using a pregnancy physiologically based pharmacokinetic model. Br J Clin Pharmacol. 2023 Jun 13.",pregnant women and their fetuses,sertraline,psychiatric conditions,37312614,"To evaluate the calibrated model, observed sertraline concentrationdata at delivery from five clinical studies, which included maternal–fetal pairs administered different sertraline doses, were comparedagainst predictions.40-44",1.https://linkinghub.elsevier.com/retrieve/pii/S0165-0327(16)31935-8  2.https://journals.lww.com/drug-monitoring/abstract/2017/04000/pharmacokinetics_and_pharmacogenetics_of_selective.16.aspx  3.https://academic.oup.com/ijnp/article/7/3/329/681898?login=false  4.https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1103296  5.https://www.psychiatrist.com/jcp/mother-infant-antidepressant-concentrations-maternal/,NA
M32,PBPK,"Abduljalil K, Ning J, Pansari A, Pan X, Jamei M. Prediction of Maternal and Fetoplacental Concentrations of Cefazolin, Cefuroxime, and Amoxicillin during Pregnancy Using Bottom-Up Physiologically Based Pharmacokinetic Models. Drug Metab Dispos. 2022;50(4):386-400.",pregnant women and their fetuses,Cefazolin/Cefuroxime/Amoxicillin,NA,35046066,"2.0 Cefuroxime The following virtual trial designs were set for model building and prediction in non-pregnant (NP) subjects after different cefuroxime administrations: Trial design NP1: Single IV infusion of 750 mg of cefuroxime given over 20 min (Garton et al., 1997); 10 trials of 10 healthy subjects (5 female) aged 18-48 years. Trial design NP2: Single IV infusion of 1500 mg of cefuroxime given over 20 min (Garton et al., 1997); 10 trials of 10 healthy subjects (5 female) aged 18-48 years. Trial design NP3: Single IV bolus of 667 mg of cefuroxime given over a period of 2.5 min (Thonnings et al., 2020); 20 trials of 20 healthy subjects (%50 female) aged 19-56 years.  Trial design NP4: Single IV bolus of 1375 mg of cefuroxime given over a period of 2.5 min (Thonnings et al., 2020); 20 trials of 20 healthy subjects (50% female) aged 19-56 years. Trial design NP5: Single IV bolus of 500 mg of cefuroxime given over 3 min (Gower and Dash, 1977); 20 trials of 6 healthy subjects (0% female) aged 28-38 years Trial design NP6: Single IV bolus of 750 mg of cefuroxime given over 3 min (Gower and Dash, 1977); 20 trials of 6 healthy subjects (0% female) aged 28-38 years Trial design NP7: Single IV bolus of 250 mg of cefuroxime given over 3 min(Foord, 1976); 20 trials of 3 healthy subjects (0% female) aged 1957 years Trial design NP8: Single IV bolus of 500 mg of cefuroxime given over 3 min(Foord, 1976); 20 trials of 3 healthy subjects (0% female) aged 1957 years Trial design NP9: Single IV bolus of 1000 mg of cefuroxime given over 3 min(Foord, 1976); 20 trials of 3 healthy subjects (0% female) aged 1957 years Trial design NP10: Single IV bolus of 750 mg of cefuroxime given over 3 min (O'Callaghan and Harding, 1977); 20 trials of 3 healthy subjects (0% female) aged  25-40 years Trial design NP11: Single IV bolus of 1500 mg of cefuroxime given over 3 min (O'Callaghan and Harding, 1977); 20 trials of 3 healthy subjects (0% female) aged  25-40 years Trial design NP12: Single IV infusion of 1500 mg of cefuroxime given over 30 min (Kagedal et al., 2007); 20 trials of 23 healthy subjects (22% female) aged 19-31 years. Trial design NP13: Single IV bolus of 750 mg of cefuroxime given over a period of 1 min (Philipson and Stiernstedt, 1982); 20 trials of 10 subjects (100% female) aged 20-45 (default).  Trial design NP14: Single intramuscular injection of 750 mg of cefuroxime (O'Callaghan and Harding, 1977); 20 trials of 12 healthy subjects (0% female) aged  19-44 years (model building). Trial design NP15: Single intramuscular injection of 1000 mg of cefuroxime (O'Callaghan and Harding, 1977); 20 trials of 8 healthy subjects (0% female) aged  19-44 years Trial design NP16: Single intramuscular injection of 1500 mg of cefuroxime (O'Callaghan and Harding, 1977); 20 trials of 4 healthy subjects (0% female) aged  19-44 years Trial design NP17: Single intramuscular injection of 500 mg of cefuroxime (Foord, 1976); 20 trials of 14 healthy subjects (0% female) aged 1957 years Trial design NP18: Single intramuscular injection of 750 mg of cefuroxime (Foord, 1976); 20 trials of 6 healthy subjects (0% female) aged 19-57 years Trial design NP19: Single intramuscular injection of 1000 mg of cefuroxime (Foord, 1976); 20 trials of 5 healthy subjects (0% female) aged 1957 years Trial design NP20: Single intramuscular injection of 750 mg of cefuroxime (Harding et al., 1979); 20 trials of 6 healthy subjects (100% female) aged 24-34 years. 2.1 Cefazolin The following virtual trial designs were set for model building and prediction in non-pregnant (NP) subjects after different cefazolin administrations: Trial design NP1: Single i.v. dose of 1000 mg cefazolin infused over 0.042 h (Rattie and Ravin, 1975); 20 trials of 17 male subjects (0% female) aged 21 – 42 years (model building). Trial design NP2: Single intramuscular injection of 1000 mg cefazolin (Scheld et al., 1981); 20 trials with 11 subjects (0% female) in each trial aged 21 – 40 years (model building). Trial design NP3: Single i.v. dose of 2000 mg cefazolin infused over 0.5 h (Smyth et al., 1979b); 20 trials of 7 male subjects (0% female) aged 21 – 35 years. Trial design NP4: Single i.v. dose of 3000 mg cefazolin infused over 0.5 h (Smyth et al., 1979b); 20 trials with 7 male subjects (0% female) in each trial aged 21 – 35 years. Trial design NP5: Single i.v. dose of 4000 mg cefazolin infused over 0.5 h (Smyth et al., 1979b); 20 trials with 7 male subjects (0% female) in each trial aged 21 – 35 years. Trial design NP6: Multiple i.v. doses of 4000 mg cefazolin infused over 0.5 h given twice daily for 10 days (Smyth et al., 1979b); 20 trials with 7 male subjects (0% female) in each trial aged 21 – 35 years. Trial design NP7: Single i.v. bolus dose of 2000 mg cefazolin (Brill et al., 2014); 20 trials with 7 subjects (85% female) in each trial aged 42 – 61 years. Trial design NP8: Multiple doses of i.v. bolus dose of 2000 mg cefazolin as a starting dose followed by 1000mg at 3, 9, and 15 hr after the first dose (Adembri et al., 2010); 20 trials with 10 subjects (20% female) in each trial aged 50-80 years. Trial design NP9: Multiple doses of i.v. bolus dose of 2000 mg cefazolin as a starting dose followed by continuous infusions started after the first dose, providing 1 g every 6 hours (Adembri et al., 2010); 20 trials with 10 subjects (30% female) in each trial aged 50-70 years. Trial design NP10: Single i.v. dose of 2000 mg cefazolin infused over 0.167 h 10 min after an oral dose of 1000 mg probenecid (Brown et al., 1993); 20 trials of 6 subjects (0% female) aged 21 – 35 years. Trial design NP11: Single i.v. dose of 500mg cefazolin infused over 10 min (Philipson et al., 1987); 20 trials with 6 subjects (100% female) in each trial aged 22 – 57 years. Trial design NP12: Single intramuscular injection of 2000 mg cefazolin (Kirby and Regamey, 1973); 20 trials with 10 subjects (85% female) in each trial aged 20 – 45 years. Trial design NP13: Single intramuscular injection of 1000 mg cefazolin (Kirby and Regamey, 1973); 20 trials with 10 subjects (85% female) in each trial aged 20 – 45 years. Trial design NP14: Single intramuscular injection of 1000 mg cefazolin (Harvengt et al., 1977); 20 trials with 7 subjects (14% female) in each trial aged 23 – 28 years. 2.2 Amoxicillin The following virtual trial designs were set for model building and prediction in non-pregnant (NP) subjects after different amoxicillin administrations: Trial design NP1: Single i.v. bolus of 500 mg amoxicillin (Dalhoff and Koeppe, 1982); 20 trials of 7 subjects (0% female) aged 23 -40 years (model building).  Trial design NP2: Single i.v. bolus of 250 mg amoxicillin (Dalhoff and Koeppe, 1982); 20 trials of 7 subjects (0% female) aged 23 -40 years.  Trial design NP3: Single i.v. bolus of 1000 mg amoxicillin (Dalhoff and Koeppe, 1982); 20 trials of 7 subjects (0% female) aged 23 -40 years.  Trial design NP4: Single i.v. bolus of 250 mg amoxicillin (Hill et al., 1980); 20 trials of 7 subjects (0% female) aged 23 -40 years.  Trial design NP5: Single i.v. bolus of 500 mg amoxicillin (Hill et al., 1980); 20 trials of 7 subjects (0% female) aged 23 -40 years.  Trial design NP6: Single i.v. bolus of 1000 mg amoxicillin (Hill et al., 1980); 20 trials of 7 subjects (0% female) aged 23 -40 years.  Trial design NP7: Single 28-min i.v. infusion of 2000 mg amoxicillin (Hill et al., 1980); 20 trials of 7 subjects (0% female) aged 23 -40 years.  Trial design NP8: Single 28-min i.v. infusion of 5000 mg amoxicillin (Hill et al., 1980); 20 trials of 7 subjects (0% female) aged 23 -40 years.  Trial design NP9: Single i.v.  bolus of 1000 mg amoxicillin (Westphal et al., 1991); 20 trials of 8 subjects (0% female) aged 20 -28 years.  Trial design NP10: Single 20-min i.v. infusion of 2500 mg amoxicillin (Sjovall et al., 1985); 20 trials of 9 subjects (0% female) aged 21 -38 years.  Trial design NP11: Single i.v. bolus of 4000 mg amoxicillin (Adam et al., 1983); 20 trials of 12 subjects (50% female) aged 23 -31 years.  Trial design NP12: Single i.v. bolus of 500 mg amoxicillin (Arancibia et al., 1980); 20 trials of 9 subjects (22% female) aged 21 -45 years.  Trial design NP13: Single i.v. bolus of 1000 mg amoxicillin (Brogden et al., 1979); 20 trials of 6 subjects (0% female) aged 20 -45 years.  Trial design NP14: Single oral dose of 1000 mg amoxicillin (Westphal et al., 1991); 20 trials of  subjects (0% female) aged 20 -30 years (model building). Trial design NP15: Single oral dose of  500 mg amoxicillin (Pires de Abreu et al., 2003); 20 trials of 24 subjects (50% female) aged 20 -47 years Trial design NP16: Single oral dose of 1000 mg amoxicillin (Prevot et al., 1997); 20 trials of 12 subjects (50% female) aged 20 -30 years. Trial design NP17: Single oral dose of  500 mg amoxicillin (Adam et al., 1983); 20 trials of 12 subjects (50% female) aged 23 -31 years Trial design NP18: Single oral dose of  259.6 mg amoxicillin (Zarowny et al., 1974); 20 trials of 8 subjects (0% female) aged 20 – 30 years Trial design NP19: Single oral dose of  500 mg amoxicillin (Philipson et al., 1975); 20 trials of 12 subjects (42% female) aged 19 -41 years Trial design NP20: Single oral dose of  500 mg amoxicillin (Andrew et al., 2007); 20 trials of 16 subjects (100% female) aged 20-37 years",https://dmd.aspetjournals.org/content/dmd/50/4/386.full.pdf?with-ds=yes,NA
