PMID,Population,Study type,Pregnancy Stage,Drug names,data source,inclusion ,exclusion,outcomes,sample size,study design,RWD,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at,Drug CUI
7099786,Maternal/Neonates,PE,pregnancy exposure,methadone/heroin/phenobarbital/diazepam/marijuana/pentazocine and Pyribenzamine “Ts and blues”/phencyclidine “PCP/” “angel dust”/and codeine.,"Perinatal Addiction Program of Northwestern University Institute of Psychiatry and Prentice Women’s Hospital and Maternity Center, between April 1976 and December 1980","All of the women were enrolled in the first or early second trimester of pregnancy and completed a course of intensive prenatal care. Maternal urine samples were obtained daily in order to screen for illicit drug use. The 58 infants were divided according to the type of maternal addiction: methadone-addicted infants N = 39 and polydrug-addicted infants N = 19. Upon admission to the program, each woman began receiving a variable initial daily dose of methadone. This dosage was steadily decreased to the lowest level that would prevent craving or withdrawal in the mother. Polydrug women received the same regimen of prenatal care as the women in the methadone group, except that they did not receive methadone. A third group of control mothers was selected in the order in which they presented themselves for prenatal care at the clinic of Prentice Women’s Hospital and Maternity center. These women had no history of drug or alcohol abuse, and management of prenatal care and nutrition was similar to that of the experimental groups.",Women with a history of heavy alcohol use were enrolled in a different section of the chemical abuse program and thus were not included in this study,neonatal birth outcomes and the Brazelton Neonatal Behavioral Assessment Scale BNBAS8 was administered at 2 days of age by trained examiners who were blinded to the infants’ prenatal history. ,"39 methadone addicted, 19 polydrug addicted, 27 controls",prospective controlled study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,24,2025-12-02T15:55:34.187949,C0202418|C0011892|C0031412|C0012010|C0936079|CUI_NOT_FOUND|CUI_NOT_FOUND|CUI_NOT_FOUND|CUI_NOT_FOUND
7820717,Maternal/Infants,PE,postpartum,Oral morphine/methadone,"Fazakerley Maternity Hospital, Liverpool,",All women who received methadone replacement and who delivered babies at Fazakerley Maternity Hospital during the study period were included.,not reported,NAS,32,prospective study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,25,2025-12-02T15:55:34.187949,C0360457|C0202418
7943829,children (2-12 years),RCT,,saline/ondansetron/metoclopramide/droperidol/acetaminophen/meperidine,"department of anesthesia and critical care, children's hospital and health center, univ. of california at San Diego","children(2-12), ASA physical status 1 or 2, scheduled to undergo outpatient tonsillectomy with or wihout adenoidectomy.",not reported,emesis,256,prospective randomized double-blinded invesigation,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,26,2025-12-02T15:55:34.187949,C0036082|C0061851|C0025853|C0013136|C2917659|C0025376
8181283,newborn/neonates/Infants < 2 years,PE,na,Fentanyl,A university hospital pediatric intensive care unit,"Infants in the pediatric ICU were eligible for the study if they were aged <2 yrs and received fentanyl by continuous intravenous infusion for at least 24 hrs. At the time the fentanyl was discontinued, patients were observed for signs of withdrawal, using the neonatal abstinence scoring system of Finnegan et al. Scoring was performed every 2 hrs for 24 hrs, then every 4 hrs for the next 48 hrs. The highest score for each 24-hr period was used for data analysis. Patients with a score of ≥8 were considered to have narcotic withdrawal.",,"Total fentanyl dose received, length of infusion, and peak infusion rate were recorded. Patients were evaluated for narcotic withdrawal by the Neonatal Abstinence Scoring System of Finnegan. Children with scores of ≥8 were considered to have narcotic withdrawal.",23,Prospective case series,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,27,2025-12-02T15:55:34.187949,C0015846
8198264,Maternal,RCT,Delivery,butorphanol/morphine/codeine/acetaminophen/lidocaine/epinephrine/naloxone/metoclopramide,"Division of Obstetric Anaesthesia, University of British Columbia and Grace Hospital, Vancouver, British Columbia, Canada","ASA grade I or II women, between the ages of 18-40 yr, presenting for elective cesarean birth under epidural anesthesia were enrolled. 20 min after delivery the patients received one of four opioid solutions as a 6-mL epidural bolus injection: Group A received 3 mg preservative-free morphine with 1 mg butorphanol; Group B, 3 mg preservative-free morphine with 2 mg butorphanol; Group C, 3 mg preservative-free morphine with 3 mg butorphanol; and Group D, 3 mg preservative-free morphine with 3 mL 0.9% NaCl.","Patients with a complicated medical or obstetric history, those who did not speak English, and those with an allergy to morphine or butorphanol were excluded from the study.","The assessments included completion of a 10-cm visual analog scale (VAS) for pain, nausea, pruritus, and somnolence. Time to first analgesia and number of analgesic supplements required were recorded.","10 in Group A, 21 in Group B, 17 in Group C, and 23 in Group D",prospective/double-blind/randomized study ,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,28,2025-12-02T15:55:34.187949,C0006491|C0026549|C0009214|C2917659|C0023660|C0201998|C0027358|C0025853
8320605,Infants,PE,postpartum,methadone/heroin/cocaine,"Working in a close collaborative relationship with the New York City Department of Health and the New York City Information and Counseling Program for Sudden Infant Death, a service division of Medical and Health Research Association of New York City, Inc., we reviewed more than 1.2 million births that occurred during an 11-year period between January 1979 and December 1989 in New York City.","The study cohort comprised all live-born infants whose births occurred in New York City between Jan. 1, 1979, and Dec. 31, 1989. New York City maintains a computerized composite file that matches death certificate information on all infants who die within 1 year of birth with their birth certificate information. If after 1 year from the date of birth no death certificate has been matched to the birth certificate, the infant is defined as ""alive."" Infants born in New York City who die elsewhere are lost to follow-up and are also considered ""'alive."" For our study of SIDS, infants who were ""alive"" at the end of 1 year and infants whose cause of death was unrelated to SIDS were combined for analysis. ",Infants born to mothers who were nonresidents at the time of delivery were excluded from the analysis. 51 possible SIDS deaths for which autopsies were not performed because of religious reasons were excluded from the study.,"A SIDS death was defined as any death occurring between 1 week and 1 year of age, with the primary cause of death listed as code 798 under the International Classification of Diseases. All potential SIDS cases were reviewed and verified by personnel from the SIDS Information and Counseling Program, who work in the building of the office of the chief medical examiner. Autopsy confirmation was required to establish the diagnosis of SIDS.","1,209,534 infants",retrospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,29,2025-12-02T15:55:34.187949,C0202418|C0011892|C0202362
8424293,Children,PE,,prophylactic dixyrazine/fentany/pancuronium/halothane/dixyrazine,"Department of Paediatric Anaesthesia and Intensive Care, Ostra Sjukhuset, Goteborg, Sweden","aged 2-16 years, undergoing g surgery for correction of strabismus",not reported, vomiting,116,prospective/safety,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,30,2025-12-02T15:55:34.187949,CUI_NOT_FOUND|CUI_NOT_FOUND|C0030310|C0018549|C0058518
8514072,infants/children/adolescents (2 months to 18 years),PE,not applicable,midazolam/meperidine/diazepam/valium/lidocaine,"Departments of Pediatrics, Baylor College of Medicine, University of Texas at Houston School of Medicine, and Texas Children's Hospital, Houston, Texas.","
EGD was performed with the use of conscious sedation in 34 consecutive patients aged 2 months to 18 years (mean age, 6.9 ± 5.8 years). Indications for EGD included UGI bleeding, recurrent abdominal pain, prolonged vomiting, caustic ingestion, and evaluation of esophageal strictures. All patients were fasted 4 to 8 hours before the procedure, depending on age. ",not reported,"Conscious sedation, esophagogastroduodenoscopy (EGD), oxygen desaturation, cardiac arrhythmias, ",34,prospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,31,2025-12-02T15:55:34.187949,C0026056|C0025376|C0012010|C0699187|C0023660
9010942,infants/children/adolescents (1 month/19 years),PE,not applicable,epidural opioids/parenteral opioids,"The Medical College of Wisconsin and Children's Hospital of Wisconsin, Milwaukee, Wisconsin.","patients, aged 1 month to 19 years, who had undergone elective open Nissen fundoplication procedures. Al fundoplications performed from January 1993 to October 1994 were studied.","Incomplete medical records were found for eight patients in the intravenous group, and these patients were excluded from the study.","open fundoplication, Outcome variables included major morbidity factors, recovery of bowel and bladder function, and economic impact.",155,retrospective cohort analysis,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,32,2025-12-02T15:55:34.187949,CUI_NOT_FOUND|CUI_NOT_FOUND
9141919,Children,CT,,Remifentanil/alfentanil/isoflurane/propofol,"Children’s Hospital of Pittsburgh, PA, The Hospital for Sick Children in Toronto, Ontario, Canada, and Children’s Memorial Hospital in Chicago, IL.","All patients were ASA grade I or II, aged 2-12 yr, and scheduled to undergo outpatient strabismus surgery.",,"Duration of anesthesia, time to extubation, time to purposeful movement, qualified time to hospital discharge, adverse events",129,Prospective,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,33,2025-12-02T15:55:34.187949,C0246631|C0002026|C0022180|C1369539
9168210,Children,CT,,Morphine,"From the Department of Anesthesiology, Istanbul University, Cerrahpa~a Medical Faculty, Istanbul, Turkey.","Between November 1988 and December 1994, epidural morphine was used for analgesia after 175 major urologic or lower abdominal surgical procedures.",,"Pain management, adverse effects",175,Prospective,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,34,2025-12-02T15:55:34.187949,C0026549
