PMID,PMCID,Clinical trial ID,DOI,URL,Population,Study type,Drug name,Species,Note,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at,Drug CUI
3098137,,,10.1097/00000542-198612000-00005,,Children,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,56,2025-12-02T15:56:26.773920,C0026549
3120765,,,10.1093/bja/59.11.1437,,Children,PK,alfentanil ,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,57,2025-12-02T15:56:26.773920,C0002026
3214378,,,,,Maternal/Labor/Delivery/Neonate,PK/PD,Bupivacaine/meperidine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,58,2025-12-02T15:56:26.773920,C0006400|C0025376
3377945,,,10.1093/bja/60.6.623,,Children,PK,meperidine ,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,59,2025-12-02T15:56:26.773920,C0025376
3535859,,,10.1093/bja/58.11.1218,,Children,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,60,2025-12-02T15:56:26.773920,C0026549
3609115,,,,,Children/Adolescent,PK,fentanyl,Human,animal data not curated here,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,61,2025-12-02T15:56:26.773920,C0015846
3609434,,,10.1016/0028-2243(87)90099-2,,Maternal/Fetal,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,62,2025-12-02T15:56:26.773920,C0026549
3670879,,,,,Pediatric,PK,Morphine,Human,animal data not curated here,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,63,2025-12-02T15:56:26.773920,C0026549
3709338,,,,,Children/Adolescent,PK,fentanyl,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,64,2025-12-02T15:56:26.773920,C0015846
3740151,,,,,Maternal/Pregnancy,PK,nalbuphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,65,2025-12-02T15:56:26.773920,C0027348
3813075,,,10.1097/00000542-198702000-00005,,Infant,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,66,2025-12-02T15:56:26.773920,C0026549
3840338,,,,,Infant,PK/PD,fentanyl,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,67,2025-12-02T15:56:26.773920,C0015846
3954090,,,,,Neonate,PK,Fentanyl,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,68,2025-12-02T15:56:26.773920,C0015846
3970110,,,,,Maternal/Neonate/Labor/Postpartum,PK,Meperidine,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,69,2025-12-02T15:56:26.773920,C0025376
3981450,,,,,Maternal/Pregnancy/Postpartum/Neonate,PK,Methadone,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,70,2025-12-02T15:56:26.773920,C0202418
4072588,,,,,Children,PK,Morphine/Diazepam,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,71,2025-12-02T15:56:26.773920,C0026549|C0012010
4383857,,,,,Maternal/Labor/Delivery/Fetal/Neonate,PK,pentazocine/meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,72,2025-12-02T15:56:26.773920,C0030873|C0025376
6200819,,,,,Children/Young Adults,PK,Morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,73,2025-12-02T15:56:26.773920,C0026549
6489427,,,,,Infant/Children/Adolescent,PK,fentanyl,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,74,2025-12-02T15:56:26.773920,C0015846
6653402,,,,,Infant/Children,PK,morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,75,2025-12-02T15:56:26.773920,C0026549
6670461,,,,,Maternal/Labor/Delivery/Newborn,PK,Meperidine,Human,PK/dose/dose-delivery interval correlation available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,76,2025-12-02T15:56:26.773920,C0025376
6713779,,,,,Maternal/Lactation,PK,Propoxyphene,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,77,2025-12-02T15:56:26.773920,C0033493
6721986,,,,,Maternal/Pregnancy/Adult,PK/binding,Meperidine,Human,"Subjects CL=1, DF=2, RU=3, LA=4, GP=5, JP=6, MM=7, BS=8, JF=9, CJ=10, SS=11, JL=12",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,78,2025-12-02T15:56:26.773920,C0025376
6893898,,,10.1016/0002-9378(81)90404-x,,Maternal/Fetal,PK,morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,79,2025-12-02T15:56:26.773920,C0026549
6896151,,,10.1093/bja/54.5.487,,Maternal/Labor/Fetal,PKPD,morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,80,2025-12-02T15:56:26.773920,C0026549
6897154,,,,,Maternal/Delivery,PK/PD/CT,Morphine/meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,81,2025-12-02T15:56:26.773920,C0026549|C0025376
6927545,,,,,Newborn,PK,morphine,Human/Monkey,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,82,2025-12-02T15:56:26.773920,C0026549
6933942,,,10.1007/978-3-642-67729-8_83,,Maternal/Labor,PK,meperidine/Noramidopyrine methane-sulfonate sodium/Aminophenazone/Methaqualone/Ampicillin/Cephalothin/Chlorsulfamethin/Indocyaninegreen,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,83,2025-12-02T15:56:26.773920,C0025376|CUI_NOT_FOUND|C0002586|C0025627|C0365589|C0007735|CUI_NOT_FOUND|CUI_NOT_FOUND
7059414,,,10.1111/j.1365-2125.1982.tb01352.x,,Maternal/Labor,PK,meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,84,2025-12-02T15:56:26.773920,C0025376
7138758,,,,,Neonate/Nonpregnant Adults,PK,Meptazinol,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,85,2025-12-02T15:56:26.773920,C0025387
7211235,,,10.3109/00016348109154108,,Maternal/Neonatal ,"PK, PD",meperidine ,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,86,2025-12-02T15:56:26.773920,C0025376
7214793,,,10.1038/clpt.1981.87,,Maternal/Lactation,"PK, case report",codeine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,87,2025-12-02T15:56:26.773920,C0009214
7225299,,,10.1111/j.1471-0528.1981.tb01004.x,,Neonate,"PK, PD",meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,88,2025-12-02T15:56:26.773920,C0025376
7318376,,,,,Stillborn Infant,PK/case reports,propoxyphene/morphine/codeine,human,"death from heroin, main drug with acetylcodeine contamination",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,89,2025-12-02T15:56:26.773920,C0033493|C0026549|C0009214
7357807,,,,,Maternal/Neonate/Labor/Adult,PK,Meperidine,Human,Concentration-time/excretion-time figures available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,90,2025-12-02T15:56:26.773920,C0025376
7437369,,,10.1111/j.1471-0528.1980.tb04459.x,,Maternal/Neonatal ,PK,meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,91,2025-12-02T15:56:26.773920,C0025376
7446613,,,10.1016/s0002-9378(16)32739-9,,Maternal/labor/delivery/lactation/Neonatal ,PK,butorphanol,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,92,2025-12-02T15:56:26.773920,C0006491
7471613,,,10.1038/clpt.1981.65,,Maternal/Fetal,PK,meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,93,2025-12-02T15:56:26.773920,C0025376
7526750,,,,,Maternal/Labor/Delivery/Fetal,PK/placenta,alfentanil,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,94,2025-12-02T15:56:26.773920,C0002026
7545736,,,10.1016/0885-3924(95)90012-8,,Pediatric ,PK,Hydromorphone ,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,95,2025-12-02T15:56:26.773920,C0012306
7552591,,,10.1136/fn.73.1.f22,,Newborn ,PK/CT,Morphine ,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,96,2025-12-02T15:56:26.773920,C0026549
7574018,,,,,Maternal/Labor/Delivery/Neonate,PK/PD,Bupivacaine/Fentanyl,human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,97,2025-12-02T15:56:26.773920,C0006400|C0015846
7589618,,,,,Adult women,PKPD,Midazolam/Fentanyl/alfentanil,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,98,2025-12-02T15:56:26.773920,C0026056|C0015846|C0002026
7631952,,,,,Maternal/Labor/Delivery/Neonate,CT/PK/PD,Bupivacaine/Fentanyl/Sufentanil,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,99,2025-12-02T15:56:26.773920,C0006400|C0015846|C0143993
7841696,,,10.1111/j.1651-2227.1994.tb12976.x,,Newborn,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,100,2025-12-02T15:56:26.773920,C0026549
7869211,,,10.1016/s0022-3476(95)70472-8,,Pediatric ,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,101,2025-12-02T15:56:26.773920,C0026549
7924762,,,,,Neonate/Infant,PK,morphine,Human,did not encounter any adverse effects in the present series,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,102,2025-12-02T15:56:26.773920,C0026549
7948434,,,10.1159/000244083,,Preterm Neonate,PK,Morphine ,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,103,2025-12-02T15:56:26.773920,C0026549
7999650,,,,,Maternal/Labor/Fetal,PKPD,alfentanil,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,104,2025-12-02T15:56:26.773920,C0002026
8026197,,,10.1097/00003246-199407000-00008,,Infant,PK ,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,105,2025-12-02T15:56:26.773920,C0026549
8213024,,,,,Maternal/Delivery/Lactation/Neonate,PK,morphine,human ,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,106,2025-12-02T15:56:26.773920,C0026549
8260056,,,,,Maternal/Lactation/Neonate,PK,codeine/morphine,human ,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,107,2025-12-02T15:56:26.773920,C0009214|C0026549
8319480,,,10.1097/00003246-199307000-00012,,Children,PK ,fentanyl,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,108,2025-12-02T15:56:26.773920,C0015846
8442811,,,10.1055/s-2007-994711,,Neonate,PK,morphine sulfate,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,109,2025-12-02T15:56:26.773920,C0066814
8471411,,,,,Premature Neonate,PK,Morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,110,2025-12-02T15:56:26.773920,C0026549
8487566,,,,,Neonate/Infant,PK,fentanyl/lorazepam,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,111,2025-12-02T15:56:26.773920,C0015846|C0024002
8623970,,,,,Maternal/Labor,PK,Bupivacaine/Fentanyl,human,"Concentration-time curve/box plots for Cmax, tmax,/AUC available. No PK values in tables or text",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,112,2025-12-02T15:56:26.773920,C0006400|C0015846
8706774,,,,,Maternal/Labor/Delivery/Neonate,PK,Nalbuphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,113,2025-12-02T15:56:26.773920,C0027348
8738689,,,10.1111/j.1399-6576.1996.tb04467.x,,Pediatric ,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,114,2025-12-02T15:56:26.773920,C0026549
8827580,,,,,Maternal/Postpartum/Lactation,PK,ketobemidone,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,115,2025-12-02T15:56:26.773920,C0064311
8839086,,,10.1111/j.1460-9592.1996.tb00350.x,,Adolescent,PK,Morphine ,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,116,2025-12-02T15:56:26.773920,C0026549
9024020,,,,,Pediatric/Newborn/Preterm/term,PK/protein-binding/in-vitro,alfentanil/Fentanyl,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,117,2025-12-02T15:56:26.773920,C0002026|C0015846
9034277,,,10.1097/00003246-199702000-00027,,Infant,PK,Morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,118,2025-12-02T15:56:26.773920,C0026549
9055894,,,10.1111/j.1651-2227.1997.tb08869.x,,Maternal/Infant,PK,meperidine ,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,119,2025-12-02T15:56:26.773920,C0025376
9089420,,,10.1002/j.1552-4604.1997.tb04780.x,,Maternal/Lactation,PK,Methohexital/Meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,120,2025-12-02T15:56:26.773920,C0025668|C0025376
9107559,,,10.1111/j.1472-8206.1997.tb00180.x,,Children,PK,Morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,121,2025-12-02T15:56:26.773920,C0026549
9134513,,,,,Newborn,PK,fentanyl,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,122,2025-12-02T15:56:26.773920,C0015846
9203876,,,10.1111/j.1365-2044.1997.154-az0160.x,,Maternal/Neonate,PK,Bupivacaine/Fentanyl,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,123,2025-12-02T15:56:26.773920,C0006400|C0015846
9305564,,,,,Maternal/Labor/Delivery/Fetal,PK/ex-vivo,sufentanil,human ,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,124,2025-12-02T15:56:26.773920,C0143993
9341416,,,10.1177/089033449701300312,,Maternal/Lactation,PK,methadone,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,125,2025-12-02T15:56:26.773920,C0202418
9390114,,,10.1016/S0009-9236(97)90053-9,,Maternal/Newborn,PK case report,Buprenolphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,126,2025-12-02T15:56:26.773920,CUI_NOT_FOUND
9431829,,,,,Maternal/Pregnancy/Neonate,PK/PD,methadone,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,127,2025-12-02T15:56:26.773920,C0202418
