PMID,Specimen type,Value,Unit,Time to specimen,Time unit,summary statistics,Variation type,variation value,Interval type,Interval low,Interval high,Subjects n,Population,Pregnancy Stage ,Gestational Age,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
910821.0,urine,,,,,,,,,,,22,maternal,pregnancy,,collected periodically during pregnancy/also during labor,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,21,2025-12-02T15:56:55.066294
910821.0,urine,,,,,,,,,,,22,neonate,,,"the infant's first voided urine specimen was obained whenever possible; if the first specimen was not obtained, the second voiding during the first 24 hours after birth was used",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,22,2025-12-02T15:56:55.066294
1115163.0,blood,,,,,,,,,,,25,maternal,pregnancy,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,23,2025-12-02T15:56:55.066294
1115163.0,umbilical cord blood,,,,,,,,,,,12,fetal,delivery,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,24,2025-12-02T15:56:55.066294
1115163.0,amniotic fluid,,,,,,,,,,,10,maternal,pregnancy,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,25,2025-12-02T15:56:55.066294
1115163.0,breast milk,,,,,,,,,,,10,maternal,postpartum,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,26,2025-12-02T15:56:55.066294
1115163.0,urine,,,,,,,,,,,19,maternal/neonate,delivery/postpartum,,"The maternal urine samples were collected prior to delivery/the newborn samples were collected during the first, second,/third days after birth. ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,27,2025-12-02T15:56:55.066294
1163360.0,blood,,,,,,,,,,,31,maternal,delivery,,Maternal blood was drawn into an EDT A or heparin anticoagulated tube as close to delivery as possible.,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,28,2025-12-02T15:56:55.066294
1163360.0,umbilical cord blood,5,cc,,,,,,,,,31,fetal,delivery,,"At delivery, 5 cc of cord blood was obtained.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,29,2025-12-02T15:56:55.066294
1163360.0,urine,,,,,,,,,,,31,maternal,delivery,,A maternal urine sample was also collected at this time for drug screening.,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,30,2025-12-02T15:56:55.066294
1163360.0,urine,24,hour,,,,,,range,0.0,3.0,31,newborn,postpartum,,Twenty-four-hour collections of urine were obtained for three days starting on the day of birth. A record of urine volume was kept.,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,31,2025-12-02T15:56:55.066294
1163360.0,heel stick/neonatal blood,0.75-1,cc,,days,,,,range,0.0,5.0,31,newborn,postpartum,,On the day of birth and/or day one of life .75-1 cc of neonatal blood was collected by heel stick into an EDT A anticoagulated tube. Subsequent samples were drawn daily for 5 days thereafter.,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,32,2025-12-02T15:56:55.066294
1218165.0,Blood,,,,,,,,,,,47,maternal,trimester 1,,All groups,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,33,2025-12-02T15:56:55.066294
1218165.0,dose to concentration time,,,,min,,,,range,25.0,140.0,11,maternal,trimester 1,,Group 1,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,34,2025-12-02T15:56:55.066294
1218165.0,dose to concentration time,,,,min,,,,,20.0,105.0,31,maternal,trimester 1,,Group 2,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,35,2025-12-02T15:56:55.066294
1218165.0,dose to concentration time,,,,hours,,,,,0.0,24.0,5,maternal,trimester 1,,Group 3,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,36,2025-12-02T15:56:55.066294
1261164.0,blood,2.5,ml,,,,,,,,,23,child,,,in propoxyphene study. Two plasma samples (2.5 ml at each time) were obtained from each patient at different times after dosing to minimize the amount of blood removed from each individual ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,37,2025-12-02T15:56:55.066294
1261164.0,blood,,,,,,,,,,,7,child,,,"in propranolol study. Suampels obtained just before a subsequent dose (i.e., at the end of a dosage interval)",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,38,2025-12-02T15:56:55.066294
1271174.0,blood,,,,,,,,,,,30,maternal,labor,,"As close to delivery as possible (1 to 3 hours), 5 ml of maternal blood was drawn into a tube containingheparin or EDTA as the anticoagulant ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,39,2025-12-02T15:56:55.066294
1271174.0,cord blood,,,,,,,,,,,31,neonate,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,40,2025-12-02T15:56:55.066294
1271174.0,blood,0.75,ml,,,,,,,,,31,neonate,,,On the day of birth (30 minutes to 1 hour of life) 0.75 ml of blood obtained by heel stick was collected into a tube containing EDTA: ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,41,2025-12-02T15:56:55.066294
1271174.0,blood,,,,,,,,,,,31,neonate,,,Neonatal blood samples then were collected between 9/10 AM for five consecutive days. ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,42,2025-12-02T15:56:55.066294
1271174.0,urine,,,,,,,,,,,30,maternal,pregnancy,,Maternal urine collected prior to delivery was similarly analyzed ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,43,2025-12-02T15:56:55.066294
1271174.0,urine,,,,,,,,,,,31,neonate,,,A sample of the infant's first voided urine ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,44,2025-12-02T15:56:55.066294
1424407.0,blood,,,0,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,45,2025-12-02T15:56:55.066294
1424407.0,,,,2,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,46,2025-12-02T15:56:55.066294
1424407.0,,,,10,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,47,2025-12-02T15:56:55.066294
1424407.0,,,,30,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,48,2025-12-02T15:56:55.066294
1424407.0,,,,60,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,49,2025-12-02T15:56:55.066294
1424407.0,,,,120,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,50,2025-12-02T15:56:55.066294
1424407.0,,,,180,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,51,2025-12-02T15:56:55.066294
1424407.0,,,,240,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,52,2025-12-02T15:56:55.066294
1424407.0,,,,360,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,53,2025-12-02T15:56:55.066294
1424407.0,,,,480,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,54,2025-12-02T15:56:55.066294
1424407.0,,,,600,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,55,2025-12-02T15:56:55.066294
1424407.0,,,,720,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,56,2025-12-02T15:56:55.066294
1424407.0,,,,1080,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,57,2025-12-02T15:56:55.066294
1424407.0,,,,1440,min,,,,,,,,,,,"Arterial or venous blood was sampled for the determination of meperidine at time 0 (baseline)/at 2, 10, 30, 60, 120, 180, 240, 360, 480, 600, 720, 1080,/1440 minutes after the injection",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,58,2025-12-02T15:56:55.066294
1424407.0,,,,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,59,2025-12-02T15:56:55.066294
1424407.0,,,,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,60,2025-12-02T15:56:55.066294
1437393.0,gastric secretion,,,,,,,,,,,16,Neonate,Delivery,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,61,2025-12-02T15:56:55.066294
1437393.0,blood,,,,,,,,,,,16,Maternal,Delivery,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,62,2025-12-02T15:56:55.066294
1437393.0,umbilical vein blood,,,,,,,,,,,16,Neonate,Delivery,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,63,2025-12-02T15:56:55.066294
1467140.0,blood,1,mL,,,,,,,,,12,neonate/infant,,,A single blood sample (1ml was collected after at least 48h of constant rate infusion of morphine,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,64,2025-12-02T15:56:55.066294
1467165.0,blood,,,,,,,,,,,34,child,,,"In patients receiving morphine, blood samples for determination of morphine concentrations were drawn every morning/when morphine toxicity was observed",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,65,2025-12-02T15:56:55.066294
1533168.0,blood,,,,,,,,,,,20,infant/child,,,"blood sample were collected after intubation, before/after anesthetic loading, 2 minutes after sternotomy, 15 minutes after initiation of ECC,/at sternal closure. ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,66,2025-12-02T15:56:55.066294
1540490.0,blood,,,,,,,,,,,4,child,,,"Plasma samples were drawn from the children at 0, 1, 2,  3, 4/5 h after the administration of the fifth suppository on the day after surgery.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,67,2025-12-02T15:56:55.066294
1540490.0,blood,,,,,,,,,,,13,infant/child,,,"Plasma samples were taken from the indwelling arterial catheter at 3, 4/5 h after the administration of the first suppository.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,68,2025-12-02T15:56:55.066294
1551153.0,blood,,,3/4,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,69,2025-12-02T15:56:55.066294
1551153.0,blood,,,2,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,70,2025-12-02T15:56:55.066294
1551153.0,blood,,,4,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,71,2025-12-02T15:56:55.066294
1551153.0,blood,,,6,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,72,2025-12-02T15:56:55.066294
1551153.0,blood,,,8,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,73,2025-12-02T15:56:55.066294
1551153.0,blood,,,10,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,74,2025-12-02T15:56:55.066294
1551153.0,colostrom,,,3/4,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,75,2025-12-02T15:56:55.066294
1551153.0,colostrom,,,2,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,76,2025-12-02T15:56:55.066294
1551153.0,colostrom,,,4,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,77,2025-12-02T15:56:55.066294
1551153.0,colostrom,,,6,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,78,2025-12-02T15:56:55.066294
1551153.0,colostrom,,,8,hours,,,,,,,13,maternal,post-partum,,"Blood/colostrum samples were taken from each woman at 45 min, two, four, six, eight,/ten hours after the fentanyl was given.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,79,2025-12-02T15:56:55.066294
1551153.0,colostrom,,,10,hours,,,,,,,13,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,80,2025-12-02T15:56:55.066294
1567033.0,Blood,,,,,,,,,,,30,Maternal,Labor,,"Blood was collected from the antecubital vein via an indwelling cannula at 0, 0.25, 0.5, 1, 2, 3, 6, 12,/24 h in both groups",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,81,2025-12-02T15:56:55.066294
1567033.0,Urine,,,,,,,,,,,30,,,,Urine specimens were obtained at the same time periods as blood from an indwelling catherter,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,82,2025-12-02T15:56:55.066294
1578319.0,urine ,4,mL,4,hours,,,,,,,16,preterm newborn infant,,<32 weeks of gestational age,"Two sets of 4-hour timed urine samples were collected from each subject, the first up to 4 hours/the other from 20 to 24 hours after morphine dosing. ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,83,2025-12-02T15:56:55.066294
1578319.0,urine ,4,mL,24,hours,,,,,,,16,preterm newborn infant,,<32 weeks of gestational age,"Two sets of 4-hour timed urine samples were collected from each subject, the first up to 4 hours/the other from 20 to 24 hours after morphine dosing. ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,84,2025-12-02T15:56:55.066294
1578319.0,blood,1,mL,4,hours,,,,,,,16,preterm newborn infant,,<32 weeks of gestational age,"blood was obtained via the indwelling catheter or from an arterial puncture, 4 hours/24 hours after the dose",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,85,2025-12-02T15:56:55.066294
1578319.0,blood,1,mL,24,hours,,,,,,,16,preterm newborn infant,,<32 weeks of gestational age,"blood was obtained via the indwelling catheter or from an arterial puncture, 4 hours/24 hours after the dose",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,86,2025-12-02T15:56:55.066294
1636668.0,blood,1,mL,6,hours,,,,,,,49,child,,,Blood samples (1 mL) were obtained at 6-/12-hour intervals from an indwelling arterial line during infusion ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,87,2025-12-02T15:56:55.066294
1636668.0,,1,mL,12,hours,,,,,,,49,child,,,Blood samples (1 mL) were obtained at 6-/12-hour intervals from an indwelling arterial line during infusion ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,88,2025-12-02T15:56:55.066294
1636668.0,,1,mL,0,min,,,,,,,49,child,,,"Blood samples (1 mL) were obtained at baseline, 30 minutes, 1,2, 4, 6, 8,12,/24 hours after discontinuation of the infusion.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,89,2025-12-02T15:56:55.066294
1636668.0,,1,mL,30,min,,,,,,,49,child,,,"Blood samples (1 mL) were obtained at baseline, 30 minutes, 1,2, 4, 6, 8,12,/24 hours after discontinuation of the infusion.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,90,2025-12-02T15:56:55.066294
1636668.0,,1,mL,1,hours,,,,,,,49,child,,,"Blood samples (1 mL) were obtained at baseline, 30 minutes, 1,2, 4, 6, 8,12,/24 hours after discontinuation of the infusion.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,91,2025-12-02T15:56:55.066294
1636668.0,,1,mL,2,hours,,,,,,,49,child,,,"Blood samples (1 mL) were obtained at baseline, 30 minutes, 1,2, 4, 6, 8,12,/24 hours after discontinuation of the infusion.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,92,2025-12-02T15:56:55.066294
1636668.0,,1,mL,4,hours,,,,,,,49,child,,,"Blood samples (1 mL) were obtained at baseline, 30 minutes, 1,2, 4, 6, 8,12,/24 hours after discontinuation of the infusion.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,93,2025-12-02T15:56:55.066294
1636668.0,,1,mL,6,hours,,,,,,,49,child,,,"Blood samples (1 mL) were obtained at baseline, 30 minutes, 1,2, 4, 6, 8,12,/24 hours after discontinuation of the infusion.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,94,2025-12-02T15:56:55.066294
1636668.0,,1,mL,8,hours,,,,,,,49,child,,,"Blood samples (1 mL) were obtained at baseline, 30 minutes, 1,2, 4, 6, 8,12,/24 hours after discontinuation of the infusion.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,95,2025-12-02T15:56:55.066294
1636668.0,,1,mL,12,hours,,,,,,,49,child,,,"Blood samples (1 mL) were obtained at baseline, 30 minutes, 1,2, 4, 6, 8,12,/24 hours after discontinuation of the infusion.",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,96,2025-12-02T15:56:55.066294
