PMID,Drug/metabilite name,Characteristics,Value,Unit,Summary Statistics,variation type,variation value,Interval type,Interval low,Interval high,Frequency,Route,Schedule,Subjects n,Population,Pregnancy Stage ,Gestational Age,P-value,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
1578319,morphine ,dose,91.8,ug/kg,mean,SD,18.7,,,,1,IV,single dose,16.0,preterm newborn infant,,<32 weeks of gestational age,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,66,2025-12-02T15:56:54.560214
1632539,alfentanil,ug/kg,11.8,ug/kg,mean,,,range,9.0,15.0,,IV,single dose,20.0,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,67,2025-12-02T15:56:54.560214
1636668,morphine ,dose,20,ug/kg/hr,,,,,,,,IV,"an intravenous bolus followed by a continuous infusion, following surgery",,pediatric ,,younger than 1 year,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,68,2025-12-02T15:56:54.560214
1636668,,,30,ug/kg/hr,,,,,,,,IV,"an intravenous bolus followed by a continuous infusion, following surgery",,pediatric ,,older than 1 year,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,69,2025-12-02T15:56:54.560214
1683310,meperidine,dose,100,mg,,,,,,,,intramuscular,,40.0,Maternal,Labor,,,hours,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,70,2025-12-02T15:56:54.560214
1683310,levallophan,dose,1.2,mg,,,,,,,,intramuscular,,,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,71,2025-12-02T15:56:54.560214
1683310,promazine,dose,25,mg,,,,,,,,intramuscular,,,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,72,2025-12-02T15:56:54.560214
1765214,Fentanyl,dose,100,ug,,PK/PD,,,,,once,injection,,16.0,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,73,2025-12-02T15:56:54.560214
1765214,Bupivacaine,dose,85,mg,,PK,,,,,once,injection,,,,,,,dose at 0.5%,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,74,2025-12-02T15:56:54.560214
1765214,Etidocaine,dose,60,mg,,,,,,,once,injection,,,,,,,dose at 1%,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,75,2025-12-02T15:56:54.560214
1765214,Epinephrine,,,,,,,,,,once,injection,,,,,,,1:200000,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,76,2025-12-02T15:56:54.560214
1869598,morphine ,dose,,,,,,,,,6,oral,regular morphine sulphate tablets to be given every 4 h for 2-4 days until adequate pain relief was achieved,2.0,pediatric ,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,77,2025-12-02T15:56:54.560214
1869598,morphine ,dose,,,,,,,,,2,oral,controlled-release morphine sulphate tablets every 12 h for 2-4 days until adequate pain control was achieved,2.0,pediatric ,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,78,2025-12-02T15:56:54.560214
1883657,methadone ,,,,,,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,79,2025-12-02T15:56:54.560214
1883657,,,,,,,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,80,2025-12-02T15:56:54.560214
1919898,fentanyl,infusion rate on day 1,9.2,ug/kg per hour,mean,SD,1.9,,,,,CIV,for each day of ECMO,8.0,neonatal,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,81,2025-12-02T15:56:54.560214
1919898,fentanyl,infusion rate on day 6,21.9,ug/kg per hour,mean,SD,4.5,,,,,CIV,for each day of ECMO,8.0,neonatal,,,0.0024,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,82,2025-12-02T15:56:54.560214
1919898,Lorazepam ,dose,0.1-0.2,mg/kg,,,,,,,every 6 to 8 hours,,for each day of ECMO,8.0,neonatal,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,83,2025-12-02T15:56:54.560214
1919898,midazolam ,,,,,,,,,,,,Midazolam was occasionally administered in individual doses together with fentanyl in response to inadequate sedation,8.0,neonatal,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,84,2025-12-02T15:56:54.560214
1919898,,,,,,,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,85,2025-12-02T15:56:54.560214
1923912,alfentanil,dose,5.63,ug/kg/hr,mean,SD,1.88,,,,,IV,"a loading dose of 8 ug/kg intravenous alfentanil was infused over 10 minutes through a peripheral venous line. A maintenace infusion of 5 ug/kg/hour was started 20 minutes after the loading dose. At 6/12 hours into the maintenance infusion, dosing adjustment was allowed to occur in increments or decrements of 2.5 ug/kg/hour with a minimum dose of 1 ug/kg/hours. After the 12-hour dosing adjustment the dose was fixed for 15 hours/subsequently discontinued.",13.0,neonate ,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,86,2025-12-02T15:56:54.560214
2012289,bupivacaine plain,dose,0.25,%,mean,,,,,,,caudal,single dose at induction of anesthesia,30.0,children,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,87,2025-12-02T15:56:54.560214
2012289,morphine,dose,0.05,mg/kg,,,,,,,,caudal,single dose at induction of anesthesia,15.0,children,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,88,2025-12-02T15:56:54.560214
2012289,nalbuphine,dose,0.3,mg/kg,,,,,,,,intramuscular,prn,11.0,chiildren,,,,bupivacaine alone group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,89,2025-12-02T15:56:54.560214
2012289,paracetamol ,dose,15,mg/kg,,,,,,,,oral,prn,8.0,children,,,,5 from the bupivacaine alone/3 from the bupivacaine/morphine group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,90,2025-12-02T15:56:54.560214
2078976,alfentanil,dose,25,ug/kg,,,,,,,,IV,administered over 30s ,10.0,neonate ,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,91,2025-12-02T15:56:54.560214
2097341,Morphine,dose,11.8,mg,mean,SD,1.9,,,,once,intramuscular,,9.0,Maternal,Labor,,,0.15 mg/kg,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,92,2025-12-02T15:56:54.560214
2097341,Morphine,dose,11,mg,,,2.0,,,,once,intravenous,,4.0,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,93,2025-12-02T15:56:54.560214
2097341,Morphine,dose-delivery interval,6.3,hours (h),,,4.4,range,1.4,15.5,,,,13.0,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,94,2025-12-02T15:56:54.560214
2097341,Morphine,dose,5.8,mg,,,2.1,,,,once,intravenous,,6.0,Adult,Nonpregnant,,,0.07-0.15 mg/kg,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,95,2025-12-02T15:56:54.560214
2097341,Morphine,dose,4.9,mg,,,0.25,,,,once,intramuscular,,4.0,Adult,Nonpregnant,,,2 weeks after iv dose,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,96,2025-12-02T15:56:54.560214
2231835,morphine ,dose,5,mg,,,,,,,4,oral,q 6 h over a 10 day period,1.0,maternal,lactation,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,97,2025-12-02T15:56:54.560214
2240676,meperidine,dose,1,mg/kg,,,,,,,,intravenous,,5.0,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,98,2025-12-02T15:56:54.560214
2240676,morphine,,0.1,mg/kg,,,,,,,,,,5.0,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,99,2025-12-02T15:56:54.560214
2240676,meperidine,,12.5,mg,,,,,,,,intravenous pump,,,maternal,delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,100,2025-12-02T15:56:54.560214
2240676,morphine,,,mg,,,,range,1.0,1.5,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,101,2025-12-02T15:56:54.560214
2240676,meperidine,,,mg,,,,,50.0,300.0,2-3 hours,oral,,,maternal,postpartum,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,102,2025-12-02T15:56:54.560214
2240676,morphine,,,mg,,,,,5.0,30.0,2-3 hours,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,103,2025-12-02T15:56:54.560214
2240676,,PCA discontinutation ,,hours,,,,,20.0,43.0,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,104,2025-12-02T15:56:54.560214
2248393,fentanyl, peak infusion rate,33.1,ug/kg/h,mean,SD,22.5,,,,,CIV,during the ECMO therapy,37.0,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,105,2025-12-02T15:56:54.560214
2248393,, peak infusion rate,37.9,ug/kg/h,mean,SD,26.0,,,,,CIV,during the ECMO therapy,21.0,neonate with NAS,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,106,2025-12-02T15:56:54.560214
2248393,, peak infusion rate,26.9,ug/kg/h,mean,SD,15.5,,,,,CIV,during the ECMO therapy,16.0,non-NAS neonate  ,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,107,2025-12-02T15:56:54.560214
2248393,,duration of ECMO therapy,5.2,days,mean,SD,1.7,,,,,CIV,during the ECMO therapy,37.0,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,108,2025-12-02T15:56:54.560214
