PMID,Characteristics,Sub-category,Value,Unit,Summary Statistics,variation type,variability value,Interval type,Interval high,Interval low,Subjects n,Population,PregnancyStage,Gestational Age,P-values,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
434034.0,Race,White,13,count,,,,,,,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,12,2025-12-02T15:56:41.182352
434034.0,Parity,Nulliparous,15,count,,,,,,,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,13,2025-12-02T15:56:41.182352
434034.0,Parity,Multiparous,8,count,,,,,,,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,14,2025-12-02T15:56:41.182352
434034.0,Gestational age,,39.7,weeks (wk),mean,SD,1.8,range,42.5,35,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,15,2025-12-02T15:56:41.182352
434034.0,Delivery,Vaginal,22,count,,,,,,,23,Maternal,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,16,2025-12-02T15:56:41.182352
434034.0,Delivery,Cesarean section,1,count,,,,,,,23,Maternal,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,17,2025-12-02T15:56:41.182352
434034.0,Complications,,11,count,,,,,,,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,18,2025-12-02T15:56:41.182352
434034.0,Complications,Mild toxemia,6,count,,,,,,,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,19,2025-12-02T15:56:41.182352
434034.0,Complications,Mild anemia,5,count,,,,,,,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,20,2025-12-02T15:56:41.182352
434034.0,Complications,Diabetes,1,count,,,,,,,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,21,2025-12-02T15:56:41.182352
434034.0,Complications,Weight>200 lbs,3,count,,,,,,,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,22,2025-12-02T15:56:41.182352
434035.0,Race,Black,14,number,frequency,,,,,,30,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,23,2025-12-02T15:56:41.182352
434035.0,Race,White,16,number,frequency,,,,,,30,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,24,2025-12-02T15:56:41.182352
434035.0,Sex,Male,14,number,frequency,,,,,,30,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,25,2025-12-02T15:56:41.182352
434035.0,Sex,Female,16,number,frequency,,,,,,30,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,26,2025-12-02T15:56:41.182352
466928.0,age,"group A, age 1 to 7 years",4.4,years,mean,SD,1.1,,,,8,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,27,2025-12-02T15:56:41.182352
466928.0,age,"group A, age 7 to 15 years",11.3,years,mean,SD,3.4,,,,8,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,28,2025-12-02T15:56:41.182352
466928.0,weight,"group A, age 1 to 7 years",17.5,kg,mean,SD,2.6,,,,8,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,29,2025-12-02T15:56:41.182352
466928.0,weight,"group A, age 7 to 15 years",40.4,kg,mean,SD,16.9,,,,8,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,30,2025-12-02T15:56:41.182352
466928.0,Male sex,group A,11,count,,,,,,,19,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,31,2025-12-02T15:56:41.182352
466928.0,age,"group B, age 7 to 15 years",8.9,years,mean,SD,3.2,,,,4,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,32,2025-12-02T15:56:41.182352
466928.0,weight,"group B, age 7 to 15 years",27.7,kg,mean,SD,9.1,,,,4,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,33,2025-12-02T15:56:41.182352
466928.0,Male sex,"group B, age 7 to 15 years",2,count,,,,,,,2,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,34,2025-12-02T15:56:41.182352
466928.0,Male sex,group C,14,count,,,,,,,30,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,35,2025-12-02T15:56:41.182352
656525.0,placental weight,,592,g,mean,SD,110,,,,22,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,36,2025-12-02T15:56:41.182352
910821.0,birth weight,,2946,g,mean,SD,390,,,,22,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,37,2025-12-02T15:56:41.182352
910821.0,sex,male,13,count,,,,,,,22,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,38,2025-12-02T15:56:41.182352
1218165.0,age,Group 1,23,years,mean,SD,5,,,,11,Maternal,Trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,39,2025-12-02T15:56:41.182352
1218165.0,age,Group 2,25,years,mean,SD,5,,,,31,Maternal,Trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,40,2025-12-02T15:56:41.182352
1218165.0,age,Group 3,27,years,mean,SD,7,,,,5,Maternal,Trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,41,2025-12-02T15:56:41.182352
1218165.0,weight,Group 1,61,kg,mean,SD,8,,,,11,Maternal,Trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,42,2025-12-02T15:56:41.182352
1218165.0,weight,Group 2,61,kg,mean,SD,6,,,,31,Maternal,Trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,43,2025-12-02T15:56:41.182352
1218165.0,weight,Group 3,58,kg,mean,SD,5,,,,5,Maternal,Trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,44,2025-12-02T15:56:41.182352
1218165.0,Therapeutic abortion,Group 1,Hysterotomy,,,,,,,,11,Maternal,Trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,45,2025-12-02T15:56:41.182352
1218165.0,Therapeutic abortion,Group 2,Dilatation/currettage,,,,,,,,31,Maternal,Trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,46,2025-12-02T15:56:41.182352
1218165.0,Therapeutic abortion,Group 3,unspecified,,,,,,,,5,Maternal,Trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,47,2025-12-02T15:56:41.182352
1261164.0,age,in propoxyphene study,na,yr,,,,range,9,1,23,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,48,2025-12-02T15:56:41.182352
1261164.0,age,in propranolol study,na,yr,,,,range,14,2,7,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,49,2025-12-02T15:56:41.182352
1271174.0,gestational age,,39,weeks,mean,SD,0.4,range,43,34,31,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,50,2025-12-02T15:56:41.182352
1271174.0,birth weight,term infants,3087,g,mean,SD,75,range,3920,2130,27,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,51,2025-12-02T15:56:41.182352
1271174.0,birth weight,premature,1968,g,mean,SD,182,range,2510,1730,4,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,52,2025-12-02T15:56:41.182352
1271174.0,Apgar score,at 1 min,7.5,,mean,SD,0.4,range,9,1,31,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,53,2025-12-02T15:56:41.182352
1271174.0,Apgar score,at 5 min,8.9,,mean,SD,0.2,range,10,7,31,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,54,2025-12-02T15:56:41.182352
1424407.0,gestational age,,39,weeks,median,,,range,42,28,21,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,55,2025-12-02T15:56:41.182352
1424407.0,age,Term (study age <1 week),0.7,days,median,,,,,,9,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,56,2025-12-02T15:56:41.182352
1424407.0,age,Term (study age >3 weeks),54,days,median,,,,,,7,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,57,2025-12-02T15:56:41.182352
1424407.0,age,preterm,23,days,median,,,,,,5,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,58,2025-12-02T15:56:41.182352
1424407.0,gestational age,Term (study age <1 week),39,weeks,median,,,range,42,28,9,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,59,2025-12-02T15:56:41.182352
1424407.0,gestational age,Term (study age >3 weeks),38,weeks,median,,,,,,7,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,60,2025-12-02T15:56:41.182352
1424407.0,gestational age,preterm,32,weeks,median,,,,,,5,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,61,2025-12-02T15:56:41.182352
1424407.0,Postconceptual age,Term (study age <1 week),279,weeks,median,,,,,,9,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,62,2025-12-02T15:56:41.182352
1424407.0,Postconceptual age,Term (study age >3 weeks),326,weeks,median,,,,,,7,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,63,2025-12-02T15:56:41.182352
1424407.0,Postconceptual age,preterm,237,weeks,median,,,,,,5,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,64,2025-12-02T15:56:41.182352
1424407.0,weight,Term (study age <1 week),3.4,kg,median,,,,,,9,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,65,2025-12-02T15:56:41.182352
1424407.0,weight,Term (study age >3 weeks),4.5,kg,median,,,,,,7,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,66,2025-12-02T15:56:41.182352
1424407.0,weight,preterm,2.2,kg,median,,,,,,5,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,67,2025-12-02T15:56:41.182352
1437393.0,Duration of labor,meperidine group,6,hours (h),mean,SD,1.5,,,,8,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,68,2025-12-02T15:56:41.182352
1437393.0,Duration of labor,control group,6.7,hours (h),mean,SD,2.7,,,,8,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,69,2025-12-02T15:56:41.182352
1437393.0,Gestational age,meperidine group,40,weeks (wk),mean,SD,0.7,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,70,2025-12-02T15:56:41.182352
1437393.0,Gestational age,control group,40,weeks (wk),mean,SD,0.8,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,71,2025-12-02T15:56:41.182352
1437393.0,Apgar score 1',meperidine group,9.9,,mean,SD,0.3,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,72,2025-12-02T15:56:41.182352
1437393.0,Apgar score 1',control group,9.7,,mean,SD,0.5,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,73,2025-12-02T15:56:41.182352
1437393.0,Apgar score 5',meperidine group,10,,mean,SD,0,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,74,2025-12-02T15:56:41.182352
1437393.0,Apgar score 5',control group,10,,mean,SD,0,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,75,2025-12-02T15:56:41.182352
1437393.0,Birth weight,meperidine group,3472,grams (g),mean,SD,296,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,76,2025-12-02T15:56:41.182352
1437393.0,Birth weight,control group,3413,grams (g),mean,SD,477,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,77,2025-12-02T15:56:41.182352
1437393.0,Height,meperidine group,50,cm,mean,SD,2.1,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,78,2025-12-02T15:56:41.182352
1437393.0,Height,control group,49.8,cm,mean,SD,1.9,,,,8,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,79,2025-12-02T15:56:41.182352
1467165.0,age,,10.7,years,mean,SD,3.9,range,17,3,32,child,,,,"Group A: : meperidine, morphine, or codeine IM or IV bolus",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,80,2025-12-02T15:56:41.182352
1467165.0,body weight,,30,kg,mean,SD,12.2,range,70,14,32,child,,,,"Group A: : meperidine, morphine, or codeine IM or IV bolus",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,81,2025-12-02T15:56:41.182352
1467165.0,age,,10.8,years,mean,SD,4.9,range,18,3,34,child,,,,Group B: patients receiving CIV morphine,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,82,2025-12-02T15:56:41.182352
1467165.0,body weight,,32,kg,mean,SD,14.9,range,72,15,34,child,,,,Group B: patients receiving CIV morphine,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,83,2025-12-02T15:56:41.182352
1533168.0,age,,35,months,mean,SD,24,range,85,7,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,84,2025-12-02T15:56:41.182352
1533168.0,body weight,,11.8,kg,mean,SD,4.3,range,20.5,7.1,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,85,2025-12-02T15:56:41.182352
1533168.0,height,,90.2,cm,mean,SD,17.7,range,123,69,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,86,2025-12-02T15:56:41.182352
1533168.0,body surface area,,0.53,m2,mean,SD,0.47,range,0.9,0.36,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,87,2025-12-02T15:56:41.182352
1533168.0,duration of ,anesthesia,255,min,mean,SD,55,range,350,190,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,88,2025-12-02T15:56:41.182352
1533168.0,duration of ,ECC,77,min,mean,SD,21,range,115,55,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,89,2025-12-02T15:56:41.182352
1533168.0,duration of ,Aortic crossclamping ,48,min,mean,SD,11,range,49,41,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,90,2025-12-02T15:56:41.182352
1533168.0,preoperative,Hemoglobin,16.4,g/dL,mean,SD,2.4,range,20.1,13.5,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,91,2025-12-02T15:56:41.182352
1533168.0,preoperative,Hematocrit,51,%,mean,SD,9.6,range,65,38,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,92,2025-12-02T15:56:41.182352
1533168.0,Preoperative p-blocker therapy incidence,,2,count,,,,,,,10,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,93,2025-12-02T15:56:41.182352
1533168.0,age,,22,months,mean,SD,17.5,range,59,7,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,94,2025-12-02T15:56:41.182352
1533168.0,body weight,,10,kg,mean,SD,4,range,19,6.5,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,95,2025-12-02T15:56:41.182352
1533168.0,height,,72.4,cm,mean,SD,25.6,range,108,66,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,96,2025-12-02T15:56:41.182352
1533168.0,body surface area,,0.46,m2,mean,SD,0.12,range,0.75,0.36,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,97,2025-12-02T15:56:41.182352
1533168.0,duration of ,anesthesia,232,min,mean,SD,27,range,265,190,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,98,2025-12-02T15:56:41.182352
1533168.0,duration of ,ECC,68,min,mean,SD,17,range,81,56,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,99,2025-12-02T15:56:41.182352
1533168.0,duration of ,Aortic crossclamping ,42,min,mean,SD,5,range,45,37,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,100,2025-12-02T15:56:41.182352
1533168.0,preoperative,Hemoglobin,15.3,g/dL,mean,SD,2.3,range,18.1,10.8,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,101,2025-12-02T15:56:41.182352
1533168.0,preoperative,Hematocrit,47,%,mean,SD,6.9,range,58,37,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,102,2025-12-02T15:56:41.182352
1533168.0,Preoperative p-blocker therapy incidence,,3,count,,,,,,,10,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,103,2025-12-02T15:56:41.182352
1533168.0,body weight,,11.4,kg,mean,SD,4.2,range,20,6,20,infant/child,,,,for all patients,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,104,2025-12-02T15:56:41.182352
1533168.0,age,,32,months,mean,SD,21,range,85,7,20,infant/child,,,,for all patients,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,105,2025-12-02T15:56:41.182352
1540490.0,age,,7.8,months,mean,SD,1.6,,,,9,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,106,2025-12-02T15:56:41.182352
1540490.0,weight,,7.9,kg,mean,SD,1.6,,,,9,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,107,2025-12-02T15:56:41.182352
1540490.0,age,,42,months,mean,SD,8.7,,,,4,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,108,2025-12-02T15:56:41.182352
1540490.0,weight,,15,kg,mean,SD,2.9,,,,4,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,109,2025-12-02T15:56:41.182352
1567033.0,Age,plain group,30,years (y),mean,SD,1,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,110,2025-12-02T15:56:41.182352
1567033.0,Age,epinephrine group,26.9,years (y),mean,SD,0.9,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,111,2025-12-02T15:56:41.182352
1567033.0,Height,plain group,159,cm,mean,SD,1.7,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,112,2025-12-02T15:56:41.182352
1567033.0,Height,epinephrine group,163,cm,mean,SD,2.6,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,113,2025-12-02T15:56:41.182352
1567033.0,Weight,plain group,73,kg,mean,SD,2.8,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,114,2025-12-02T15:56:41.182352
1567033.0,Weight,epinephrine group,76,kg,mean,SD,3.5,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,115,2025-12-02T15:56:41.182352
1567033.0,Time to T-10 regression,plain group,114,minutes (min),mean,SD,25,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,116,2025-12-02T15:56:41.182352
1567033.0,Time to T-10 regression,epinephrine group,118,minutes (min),mean,SD,31,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,117,2025-12-02T15:56:41.182352
1567033.0,Time to first analgesic,plain group,24,hours (h),mean,SD,1,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,118,2025-12-02T15:56:41.182352
1567033.0,Time to first analgesic,epinephrine group,28,hours (h),mean,SD,2,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,119,2025-12-02T15:56:41.182352
1567033.0,Systolic BP - baseline,plain group,118,mmHg,mean,SD,10,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,120,2025-12-02T15:56:41.182352
1567033.0,Systolic BP - baseline,epinephrine group,123,mmHg,mean,SD,8,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,121,2025-12-02T15:56:41.182352
1567033.0,Systolic BP - T4 sensory level,plain group,108,mmHg,mean,SD,8,,,,15,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,122,2025-12-02T15:56:41.182352
