PMID,Drug name,Analyte,Specimen,Population,Pregnancy Stage ,Gestational/pediatric Age,Subjectsn,Parameter type,Time,Time unit,Value,Unit,Summary Statistics,variation type,Variation value,Interval type,Interval low,interval high,P-value,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
47537.0,Diamorphine,paracetamol,plasma,Maternal,Labor,,8,Concentration,3,hours (hrs),6.8,ug/ml,mean,SD,1.5,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,30,2025-12-02T15:56:56.518041
47537.0,Diamorphine,paracetamol,plasma,Maternal,Labor,,8,Cmax,4,hours (hrs),8.6,ug/ml,mean,SD,2.1,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,31,2025-12-02T15:56:56.518041
47537.0,Diamorphine,paracetamol,plasma,Maternal,Labor,,8,Concentration,6,hours (hrs),5.8,ug/ml,mean,SD,1,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,32,2025-12-02T15:56:56.518041
47537.0,Diamorphine,paracetamol,plasma,Maternal,Labor,,8,Concentration,8,hours (hrs),2.9,ug/ml,mean,SD,3.4,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,33,2025-12-02T15:56:56.518041
47537.0,Pentazocine,paracetamol,plasma,Maternal,Labor,,8,Concentration,15,minutes (mins),0.1,ug/ml,mean,SD,0.09,,,,,p<0.01 compared to no narcotics,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,34,2025-12-02T15:56:56.518041
47537.0,Pentazocine,paracetamol,plasma,Maternal,Labor,,8,Concentration,30,minutes (mins),0.9,ug/ml,mean,SD,0.4,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,35,2025-12-02T15:56:56.518041
47537.0,Pentazocine,paracetamol,plasma,Maternal,Labor,,8,Concentration,45,minutes (mins),1.4,ug/ml,mean,SD,0.6,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,36,2025-12-02T15:56:56.518041
47537.0,Pentazocine,paracetamol,plasma,Maternal,Labor,,8,Concentration,60,minutes (mins),2,ug/ml,mean,SD,0.7,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,37,2025-12-02T15:56:56.518041
47537.0,Pentazocine,paracetamol,plasma,Maternal,Labor,,8,Concentration,75,minutes (mins),2.1,ug/ml,mean,SD,0.6,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,38,2025-12-02T15:56:56.518041
47537.0,Pentazocine,paracetamol,plasma,Maternal,Labor,,8,Concentration,90,minutes (mins),2.5,ug/ml,mean,SD,0.6,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,39,2025-12-02T15:56:56.518041
47537.0,meperidine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,15,minutes (mins),1.2,ug/ml,mean,SD,0.8,,,,,p>0.05 compared to meperidine alone,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,40,2025-12-02T15:56:56.518041
47537.0,meperidine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,30,minutes (mins),2.5,ug/ml,mean,SD,2.1,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,41,2025-12-02T15:56:56.518041
47537.0,meperidine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,45,minutes (mins),3,ug/ml,mean,SD,2.2,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,42,2025-12-02T15:56:56.518041
47537.0,meperidine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,60,minutes (mins),4.7,ug/ml,mean,SD,2.7,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,43,2025-12-02T15:56:56.518041
47537.0,meperidine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,75,minutes (mins),4.3,ug/ml,mean,SD,2.8,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,44,2025-12-02T15:56:56.518041
47537.0,meperidine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,90,minutes (mins),5.3,ug/ml,mean,SD,2.7,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,45,2025-12-02T15:56:56.518041
47537.0,Diamorphine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,15,minutes (mins),0.2,ug/ml,mean,SD,0.07,,,,,p>0.05 compared to diamorphine alone,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,46,2025-12-02T15:56:56.518041
47537.0,Diamorphine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,30,minutes (mins),1,ug/ml,mean,SD,0.6,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,47,2025-12-02T15:56:56.518041
47537.0,Diamorphine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,45,minutes (mins),1.5,ug/ml,mean,SD,0.8,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,48,2025-12-02T15:56:56.518041
47537.0,Diamorphine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,60,minutes (mins),2.5,ug/ml,mean,SD,0.9,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,49,2025-12-02T15:56:56.518041
47537.0,Diamorphine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,75,minutes (mins),3.6,ug/ml,mean,SD,1.3,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,50,2025-12-02T15:56:56.518041
47537.0,Diamorphine/metoclopramide,paracetamol,plasma,Maternal,Labor,,8,Concentration,90,minutes (mins),3.3,ug/ml,mean,SD,0.7,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,51,2025-12-02T15:56:56.518041
359109.0,butorphanol,butorphanol,blood,maternal,labor,,6,concentration,128,min,0.76,ng/ml,mean,,,,,,,time of sample collection following dose,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,52,2025-12-02T15:56:56.518041
359109.0,meperidine,meperidine,blood,maternal,labor,,4,concentration,121,min,132,ng/ml,mean,,,,,,,time of sample collection following dose,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,53,2025-12-02T15:56:56.518041
359109.0,butorphanol,butorphanol,umbilical blood,neonate,delivery,,6,concentration,128,min,0.64,ng/ml,mean,,,,,,,time of sample collection following dose,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,54,2025-12-02T15:56:56.518041
359109.0,meperidine,meperidine,umbilical blood,neonate,delivery,,4,concentration,121,min,126,ng/ml,mean,,,,,,,time of sample collection following dose,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,55,2025-12-02T15:56:56.518041
359109.0,butorphanol,butorphanol,blood,maternal/fetal,delivery,,6,fetal:maternal ratio,128,min,0.84,ng/ml,mean,,,range,0.4,1.4,,time of sample collection following dose,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,56,2025-12-02T15:56:56.518041
359109.0,meperidine,meperidine,blood,maternal/fetal,delivery,,4,fetal:maternal ratio,121,min,0.89,ng/ml,mean,,,range,0.72,1.16,,time of sample collection following dose,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,57,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Maternal,Labor,,23,tmax,,,1,minutes (min),mean,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,58,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Maternal,Labor,,10,t1/2 alpha,,,4.7,minutes (min),mean,SD,1,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,59,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Maternal,Labor,,10,t1/2 beta,,,2.42,hours (h),mean,SD,0.64,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,60,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Maternal,Labor,,10,Vd area,,,221,liters (l),mean,SD,98,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,61,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Maternal,Labor,,10,Vdss,,,190,liters (l),mean,SD,81,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,62,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Maternal,Labor,,10,CL,,,1067,ml/min,mean,SD,395,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,63,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Maternal,Labor,,10,KE,,,1.55,hours (h),mean,SD,0.4,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,64,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Maternal,Labor,,10,K21,,,1.89,hours (h),mean,SD,0.7,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,65,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Maternal,Labor,,10,K12,,,6.15,hours (h),mean,SD,1.4,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,66,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,4,t1/2 alpha,,,7.1,minutes (min),mean,SD,2.2,,,,,Volunteers from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,67,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,4,t1/2 beta,,,3.7,hours (h),mean,SD,1.6,,,,,Volunteers from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,68,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,4,Vd area,,,305,liters (l),mean,SD,120,,,,,Volunteers from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,69,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,4,Vdss,,,276,liters (l),mean,SD,100,,,,,Volunteers from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,70,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,4,CL,,,1002,ml/min,mean,SD,400,,,,,Volunteers from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,71,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,29,t1/2 alpha,,,3.3,minutes (min),mean,SD,3,,,,,Surgical patients from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,72,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,29,t1/2 beta,,,3.1,hours (h),mean,SD,1.4,,,,,Surgical patients from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,73,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,29,Vd area,,,203,liters (l),mean,SD,99,,,,,Surgical patients from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,74,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,29,Vdss,,,185,liters (l),mean,SD,87,,,,,Surgical patients from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,75,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,29,CL,,,830,ml/min,mean,SD,410,,,,,Surgical patients from Mather,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,76,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,6,t1/2 alpha,,,4.2,minutes (min),mean,SD,1.3,,,,,Medical students from Klotz,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,77,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,6,t1/2 beta,,,3.93,hours (h),mean,SD,0.33,,,,,Medical students from Klotz,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,78,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,6,Vd area,,,242,liters (l),mean,SD,57,,,,,Medical students from Klotz,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,79,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,6,Vdss,,,198,liters (l),mean,SD,94,,,,,Medical students from Klotz,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,80,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,6,CL,,,710,ml/min,mean,SD,110,,,,,Medical students from Klotz,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,81,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,8,t1/2 alpha,,,11.4,minutes (min),mean,SD,2.4,,,,,Volunteers from Stambaugh,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,82,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,8,t1/2 beta,,,3.21,hours (h),mean,SD,0.8,,,,,Volunteers from Stambaugh,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,83,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,8,Vd area,,,121,liters (l),mean,SD,43,,,,,Volunteers from Stambaugh,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,84,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,8,Vdss,,,329,liters (l),mean,SD,99,,,,,Volunteers from Stambaugh,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,85,2025-12-02T15:56:56.518041
434034.0,Meperidine,meperidine,Plasma,Nonpregnant,,,8,CL,,,1313,ml/min,mean,SD,383,,,,,Volunteers from Stambaugh,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,86,2025-12-02T15:56:56.518041
434035.0,Meperidine,meperidine,umbilical vein blood,infant,delivery,,24,concentration,,,95,ng/ml,mean,SD,43,range,11,162,,subject n represents number of samples here,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,87,2025-12-02T15:56:56.518041
434035.0,Meperidine,meperidine,umbilical artery blood,infant,delivery,,13,concentration,,,64,ng/ml,mean,SD,22,,40,99,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,88,2025-12-02T15:56:56.518041
434035.0,Meperidine,normeperidine,umbilical vein blood,infant,delivery,,13,concentration,,,17,ng/ml,mean,SD,14,,5,38,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,89,2025-12-02T15:56:56.518041
434035.0,Meperidine,normeperidine,umbilical artery blood,infant,delivery,,10,concentration,,,15,ng/ml,mean,SD,13,,2,42,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,90,2025-12-02T15:56:56.518041
434035.0,Meperidine,meperidine,cord/maternal venous blood,maternal/fetal,delivery,,24,fetal:maternal ratio,,,0.86,,mean,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,91,2025-12-02T15:56:56.518041
434035.0,Meperidine,normeperidine,cord/maternal venous blood,maternal/fetal,delivery,,13,fetal:maternal ratio,,,0.87,,mean,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,92,2025-12-02T15:56:56.518041
466928.0,morphine,morphine,blood,child,,,8,Cp0,,,4.08x10^3,ng/ml,,,,,,,,"group A, age 1 to 7 years",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,93,2025-12-02T15:56:56.518041
466928.0,morphine,morphine,blood,child,,,8,Cp0,,,3.3x10^3,ng/ml,,,,,,,,"group A, age 7 to 15 years",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,94,2025-12-02T15:56:56.518041
466928.0,morphine,morphine,blood,child,,,8,AUC,,,1.84x10^4,ng min/ml,,,,,,,,"group A, age 1 to 7 years",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,95,2025-12-02T15:56:56.518041
466928.0,morphine,morphine,blood,child,,,8,AUC,,,1.70x10^4,ng min/ml,,,,,,,,"group A, age 7 to 15 years",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,96,2025-12-02T15:56:56.518041
466928.0,morphine,morphine,blood,child,,,8,Cl,,,6.17,ml/min/kg,,,,,,,,"group A, age 1 to 7 years",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,97,2025-12-02T15:56:56.518041
466928.0,morphine,morphine,blood,child,,,8,Cl,,,6.71,ml/min/kg,,,,,,,,"group A, age 7 to 15 years",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,98,2025-12-02T15:56:56.518041
