PMID,Outcome,Sub-category,Value,Unit,Summary Statistics,Variation type,Variation value,Interval type,Interval low,Interval high,Subjects n,Population,Pregnancy Stage ,Gestational Age,P-value,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
1163360.0,Apgar score 1',,7.5,,mean,SD,0.4,range,1,9,31.0,newborn,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,12,2025-12-02T15:57:10.570299
1163360.0,Apgar score 2',,7.6,,mean,SD,0.5,range,1,9,31.0,newborn,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,13,2025-12-02T15:57:10.570299
1163360.0,Apgar score 5',,8.9,,mean,SD,0.2,range,7,10,31.0,newborn,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,14,2025-12-02T15:57:10.570299
1163360.0,Small for gestational age,,3,count,%,11.1,,,,,27.0,newborn,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,15,2025-12-02T15:57:10.570299
1163360.0,birth asphyxia,,3,count,,,,,,,31.0,newborn,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,16,2025-12-02T15:57:10.570299
1163360.0,methadone withdrawal,mild,5,count,%,17,,,,,29.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,17,2025-12-02T15:57:10.570299
1163360.0,methadone withdrawal,moderate,14,count,%,48,,,,,29.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,18,2025-12-02T15:57:10.570299
1163360.0,methadone withdrawal,severe,5,count,%,21,,,,,24.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,19,2025-12-02T15:57:10.570299
1163360.0,methadone withdrawal,any symptoms,25,count,%,86,,,,,29.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,20,2025-12-02T15:57:10.570299
1424407.0,heart rate,baseline,156,beats/min,median,,,range,107,184,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,21,2025-12-02T15:57:10.570299
1424407.0,,5 mMin,159,beats/min,median,,,range,113,188,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,22,2025-12-02T15:57:10.570299
1424407.0,,15 Min,140,beats/min,median,,,range,109,180,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,23,2025-12-02T15:57:10.570299
1424407.0,,30 Min,146,beats/min,median,,,range,108,178,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,24,2025-12-02T15:57:10.570299
1424407.0,,60 Min,151,beats/min,median,,,range,101,187,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,25,2025-12-02T15:57:10.570299
1424407.0,,120 Min,140,beats/min,median,,,range,103,185,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,26,2025-12-02T15:57:10.570299
1424407.0,,240 Min,133,beats/min,median,,,range,108,177,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,27,2025-12-02T15:57:10.570299
1424407.0,,480 Min,140,beats/min,median,,,range,106,180,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,28,2025-12-02T15:57:10.570299
1424407.0,,720 Min,144,beats/min,median,,,range,120,190,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,29,2025-12-02T15:57:10.570299
1424407.0,Mean blood pressure,baseline,62,mmHg,median,,,range,39,95,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,30,2025-12-02T15:57:10.570299
1424407.0,Mean blood pressure,5 mMin,55,mmHg,median,,,range,42,97,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,31,2025-12-02T15:57:10.570299
1424407.0,Mean blood pressure,15 Min,52,mmHg,median,,,range,40,84,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,32,2025-12-02T15:57:10.570299
1424407.0,Mean blood pressure,30 Min,55,mmHg,median,,,range,42,92,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,33,2025-12-02T15:57:10.570299
1424407.0,Mean blood pressure,60 Min,58,mmHg,median,,,range,38,97,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,34,2025-12-02T15:57:10.570299
1424407.0,Mean blood pressure,120 Min,58,mmHg,median,,,range,40,97,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,35,2025-12-02T15:57:10.570299
1424407.0,Mean blood pressure,240 Min,55,mmHg,median,,,range,36,98,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,36,2025-12-02T15:57:10.570299
1424407.0,Mean blood pressure,480 Min,60,mmHg,median,,,range,34,85,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,37,2025-12-02T15:57:10.570299
1424407.0,Mean blood pressure,720 Min,59,mmHg,median,,,range,34,85,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,38,2025-12-02T15:57:10.570299
1424407.0,Oxygen saturation,baseline,97,%,median,,,range,79,99,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,39,2025-12-02T15:57:10.570299
1424407.0,,5 mMin,97,%,median,,,range,78,99,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,40,2025-12-02T15:57:10.570299
1424407.0,,15 Min,96,%,median,,,range,83,99,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,41,2025-12-02T15:57:10.570299
1424407.0,,30 Min,97,%,median,,,range,81,99,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,42,2025-12-02T15:57:10.570299
1424407.0,,60 Min,97,%,median,,,range,80,99,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,43,2025-12-02T15:57:10.570299
1424407.0,,120 Min,97,%,median,,,range,82,99,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,44,2025-12-02T15:57:10.570299
1424407.0,,240 Min,97,%,median,,,range,78,99,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,45,2025-12-02T15:57:10.570299
1424407.0,,480 Min,97,%,median,,,range,77,99,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,46,2025-12-02T15:57:10.570299
1424407.0,,720 Min,97,%,median,,,range,80,90,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,47,2025-12-02T15:57:10.570299
1424407.0,pH,baseline,7.39,,median,,,range,7.3,7.53,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,48,2025-12-02T15:57:10.570299
1424407.0,,5 mMin,,,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,49,2025-12-02T15:57:10.570299
1424407.0,,15 Min,,,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,50,2025-12-02T15:57:10.570299
1424407.0,,30 Min,,,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,51,2025-12-02T15:57:10.570299
1424407.0,,60 Min,,,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,52,2025-12-02T15:57:10.570299
1424407.0,,120 Min,7.38,,median,,,range,7.29,7.55,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,53,2025-12-02T15:57:10.570299
1424407.0,,240 Min,,,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,54,2025-12-02T15:57:10.570299
1424407.0,,480 Min,,,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,55,2025-12-02T15:57:10.570299
1424407.0,,720 Min,7.35,,median,,,range,7.22,7.6,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,56,2025-12-02T15:57:10.570299
1424407.0,,24 Hours,7.35,,median,,,range,7.21,7.47,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,57,2025-12-02T15:57:10.570299
1424407.0,Pco2,baseline,4.8,kPa,median,,,range,3.1,6.3,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,58,2025-12-02T15:57:10.570299
1424407.0,,5 mMin,,kPa,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,59,2025-12-02T15:57:10.570299
1424407.0,,15 Min,,kPa,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,60,2025-12-02T15:57:10.570299
1424407.0,,30 Min,,kPa,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,61,2025-12-02T15:57:10.570299
1424407.0,,60 Min,,kPa,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,62,2025-12-02T15:57:10.570299
1424407.0,,120 Min,4.4,kPa,median,,,range,2.7,6.4,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,63,2025-12-02T15:57:10.570299
1424407.0,,240 Min,,kPa,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,64,2025-12-02T15:57:10.570299
1424407.0,,480 Min,,kPa,median,,,range,,,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,65,2025-12-02T15:57:10.570299
1424407.0,,720 Min,4.9,kPa,median,,,range,3.3,6.9,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,66,2025-12-02T15:57:10.570299
1424407.0,,24 Hours,5.3,kPa,median,,,range,2.7,6.6,21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,67,2025-12-02T15:57:10.570299
1437393.0,minute ventilation (VE),Meperidine group,222,,ml/kg/min,SD,45.0,,,,8.0,Neonate,Postpartum (PP),day 1; 1-4 hours,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,68,2025-12-02T15:57:10.570299
1437393.0,minute ventilation (VE),Control group,223,,ml/kg/min,,59.0,,,,8.0,Neonate,Postpartum (PP),day 1; 1-4 hours,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,69,2025-12-02T15:57:10.570299
1437393.0,respiratory rate (RR),Meperidine group,46.3,,breaths/min,,6.8,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,70,2025-12-02T15:57:10.570299
1437393.0,respiratory rate (RR),Control group,57.9,,breaths/min,,17.0,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,71,2025-12-02T15:57:10.570299
1437393.0,Ti/Ttot (inspiratory time/total duration of respiratory cycle),Meperidine group,0.39,,,,0.02,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,72,2025-12-02T15:57:10.570299
1437393.0,Ti/Ttot (inspiratory time/total duration of respiratory cycle),Control group,0.39,,,,0.03,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,73,2025-12-02T15:57:10.570299
1437393.0,tidal volume (VT),Meperidine group,4.8,,ml/kg,,0.6,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,74,2025-12-02T15:57:10.570299
1437393.0,tidal volume (VT),Control group,4.1,,ml/kg,,1.1,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,75,2025-12-02T15:57:10.570299
1437393.0,VT/Ti,Meperidine group,33.1,,ml/s,,7.0,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,76,2025-12-02T15:57:10.570299
1437393.0,VT/Ti,Control group,32.3,,ml/s,,8.6,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,77,2025-12-02T15:57:10.570299
1437393.0,compliance of total respiratory system (CRS),Meperidine group,0.71,,ml/cm water/kg,,0.11,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,78,2025-12-02T15:57:10.570299
1437393.0,compliance of total respiratory system (CRS),Control group,0.7,,ml/cm water/kg,,0.09,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,79,2025-12-02T15:57:10.570299
1437393.0,Apnea >10s/100 min during active sleep,Meperidine group,2.25,,count,,2.1,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,80,2025-12-02T15:57:10.570299
1437393.0,Apnea >10s/100 min during active sleep,Control group,0.25,,count,,0.66,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,81,2025-12-02T15:57:10.570299
1437393.0,Apnea >3s/100 min during active sleep,Meperidine group,37.1,,count,,25.1,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,82,2025-12-02T15:57:10.570299
1437393.0,Apnea >3s/100 min during active sleep,Control group,11.2,,count,,25.1,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,83,2025-12-02T15:57:10.570299
1437393.0,Apnea >3s/100 min during quiet sleep,Meperidine group,4.35,,,,25.1,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,84,2025-12-02T15:57:10.570299
1437393.0,Apnea >3s/100 min during quiet sleep,Control group,2.32,,count,,25.1,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,85,2025-12-02T15:57:10.570299
1437393.0,Lowest arterial oxygen saturation (SaO2) during active sleep,Meperidine group,81.1,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,86,2025-12-02T15:57:10.570299
1437393.0,Lowest arterial oxygen saturation (SaO2) during active sleep,Control group,89.4,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,87,2025-12-02T15:57:10.570299
1437393.0,Time spent in arterial oxygen saturation (SaO2) <90% during active sleep,Meperidine group,14.3,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,88,2025-12-02T15:57:10.570299
1437393.0,Time spent in arterial oxygen saturation (SaO2) <90% during active sleep,Control group,1.3,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,89,2025-12-02T15:57:10.570299
1437393.0,Time spent in arterial oxygen saturation (SaO2) <90% during quiet sleep,Meperidine group,0.3,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,90,2025-12-02T15:57:10.570299
1437393.0,Time spent in arterial oxygen saturation (SaO2) <90% during quiet sleep,Control group,0,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,91,2025-12-02T15:57:10.570299
1437393.0,Time spent in wakefulness,Meperidine group,21.1,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,92,2025-12-02T15:57:10.570299
1437393.0,Time spent in wakefulness,Control group,13.2,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,93,2025-12-02T15:57:10.570299
1437393.0,Time spent in active sleep,Meperidine group,55.8,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,94,2025-12-02T15:57:10.570299
1437393.0,Time spent in active sleep,Control group,53.5,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,95,2025-12-02T15:57:10.570299
1437393.0,Time spent in quite sleep,Meperidine group,23.1,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,96,2025-12-02T15:57:10.570299
1437393.0,Time spent in quite sleep,Control group,33.1,,%,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,97,2025-12-02T15:57:10.570299
1467165.0,duration of hospital stay,"Group A: : meperidine, morphine, or codeine IM or IV bolus",6.9,days,mean,,2.5,,,,32.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,98,2025-12-02T15:57:10.570299
1467165.0,duration of severe pain,"Group A: : meperidine, morphine, or codeine IM or IV bolus",2,days,mean,,1.8,,,,32.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,99,2025-12-02T15:57:10.570299
1467165.0,duration of hospital stay,Group B: patients receiving CIV morphine,7.1,days,mean,,4.0,,,,34.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,100,2025-12-02T15:57:10.570299
1467165.0,duration of severe pain,Group B: patients receiving CIV morphine,0.9,days,mean,,1.0,,,,34.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,101,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,"Group A: : meperidine, morphine, or codeine IM or IV bolus",9,,count,,,,,,32.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,102,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,"Group A: : meperidine, morphine, or codeine IM or IV bolus",9,,count,,,,,,32.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,103,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,"Group A: : meperidine, morphine, or codeine IM or IV bolus",4,,count,,,,,,32.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,104,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,"Group A: : meperidine, morphine, or codeine IM or IV bolus",8,,count,,,,,,32.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,105,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,"Group A: : meperidine, morphine, or codeine IM or IV bolus",13,,count,,,,,,32.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,106,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,"Group A: : meperidine, morphine, or codeine IM or IV bolus",2,,count,,,,,,32.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,107,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,Group B: patients receiving CIV morphine,5,,count,,,,,,34.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,108,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,Group B: patients receiving CIV morphine,12,,count,,,,,,34.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,109,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,Group B: patients receiving CIV morphine,9,,count,,,,,,34.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,110,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,Group B: patients receiving CIV morphine,4,,count,,,,,,34.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,111,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,Group B: patients receiving CIV morphine,25,,count,,,,,,34.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,112,2025-12-02T15:57:10.570299
1467165.0,frequency of opioid side effects,Group B: patients receiving CIV morphine,3,,count,,,,,,34.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,113,2025-12-02T15:57:10.570299
1632539.0,convulsive rigidity,,4,count,,,,,,,20.0,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,114,2025-12-02T15:57:10.570299
1683310.0,Apgar score >7,,40,,count,,,,,,40.0,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,115,2025-12-02T15:57:10.570299
1765214.0,Sedation,,0,,count,,,,,,16.0,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,116,2025-12-02T15:57:10.570299
1765214.0,Respiratory depression,,0,,,,,,,,16.0,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,117,2025-12-02T15:57:10.570299
1765214.0,Apgar score>8 at 1',,16,,,,,,,,16.0,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,118,2025-12-02T15:57:10.570299
1765214.0,Apgar score>8 at 5',,16,,,,,,,,16.0,Neonate,Delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,119,2025-12-02T15:57:10.570299
